accord_id,note_id,note_role,layer,importance_weight,presence_prob,compatibility_score,stability_class,rank_in_layer
ACC-0041,NOTE-0496,support,base,2,0.7,0.9,high,4
ACC-0041,NOTE-0493,modifier,heart,2,0.65,0.9,high,1
ACC-0043,NOTE-0614,driver,base,4,0.85,0.8,medium,1
ACC-0043,NOTE-0455,support,base,4,0.8,0.85,medium,1
ACC-0043,NOTE-0606,support,base,3,0.7,0.9,medium,2
ACC-0043,NOTE-0454,modifier,base,2,0.65,0.9,high,3
ACC-0043,NOTE-0613,driver,heart/base,5,0.95,0.85,high,1
ACC-0043,NOTE-0478,support,top/heart,3,0.75,0.85,medium,1
ACC-0050,NOTE-0046,driver,base,5,0.9,0.75,medium,1
ACC-0050,NOTE-0485,driver,base,4,0.85,0.75,medium,2
ACC-0050,NOTE-0606,support,base,3,0.75,0.8,medium,3
ACC-0050,NOTE-0455,support,base,3,0.8,0.85,medium,3
ACC-0050,NOTE-0453,support,base,3,0.7,0.85,high,3
ACC-0050,NOTE-0349,modifier,heart,2,0.6,0.8,high,1
ACC-0054,NOTE-0632,driver,base,5,0.85,0.9,high,1
ACC-0054,NOTE-0663,driver,base,4,0.8,0.9,high,2
ACC-0054,NOTE-0456,support,base,4,0.85,0.95,high,2
ACC-0054,NOTE-0507,support,base,3,0.75,0.9,high,3
ACC-0054,NOTE-0484,support,base,3,0.7,0.9,high,3
ACC-0054,NOTE-0087,modifier,base,2,0.65,0.9,high,4
ACC-0057,NOTE-0452,driver,base,5,0.95,0.85,medium,1
ACC-0057,NOTE-0644,driver,base,4,0.7,0.9,high,2
ACC-0057,NOTE-0604,support,base,4,0.8,0.8,medium,2
ACC-0057,NOTE-0453,support,base,3,0.75,0.85,high,3
ACC-0057,NOTE-0463,support,base,3,0.6,0.85,high,3
ACC-0057,NOTE-0637,modifier,top/heart,2,0.55,0.8,medium,1
ACC-0062,NOTE-0003,driver,base,5,0.9,0.75,medium,1
ACC-0062,NOTE-0525,driver,base,4,0.85,0.8,medium,2
ACC-0062,NOTE-0604,support,base,4,0.8,0.8,medium,2
ACC-0062,NOTE-0021,modifier,base,2,0.6,0.95,high,3
ACC-0062,NOTE-0455,support,base,2,0.65,0.85,medium,3
ACC-0062,NOTE-0349,support,heart,3,0.75,0.8,high,1
ACC-0062,NOTE-0501,support,heart,3,0.7,0.85,high,1
ACC-0063,NOTE-0021,modifier,base,2,0.6,0.95,high,1
ACC-0063,NOTE-0639,support,heart,3,0.65,0.9,high,1
ACC-0063,NOTE-0652,driver,top,4,0.85,0.85,high,1
ACC-0063,NOTE-0474,support,top,3,0.7,0.85,high,2
ACC-0063,NOTE-0651,driver,top/heart,5,0.9,0.85,high,1
ACC-0063,NOTE-0497,support,top/heart,4,0.8,0.85,high,2
ACC-0066,NOTE-0527,driver,base,5,0.9,0.85,high,1
ACC-0066,NOTE-0484,driver,base,4,0.85,0.9,high,2
ACC-0066,NOTE-0643,support,base,4,0.75,0.85,high,2
ACC-0066,NOTE-0608,support,base,3,0.7,0.9,high,3
ACC-0066,NOTE-0456,modifier,base,2,0.6,0.95,high,4
ACC-0066,NOTE-0524,support,heart/base,3,0.65,0.9,high,1
ACC-0068,NOTE-0501,driver,heart,5,0.95,0.9,high,1
ACC-0068,NOTE-0647,driver,heart,4,0.9,0.9,high,2
ACC-0068,NOTE-0502,support,heart,4,0.85,0.9,high,2
ACC-0068,NOTE-0503,support,heart,3,0.8,0.9,high,3
ACC-0068,NOTE-0504,modifier,heart,2,0.7,0.85,high,4
ACC-0068,NOTE-0541,support,top/heart,2,0.6,0.8,high,1
ACC-0075,NOTE-0046,driver,base,5,0.9,0.75,medium,1
ACC-0075,NOTE-0075,driver,base,4,0.85,0.75,medium,2
ACC-0075,NOTE-0572,support,base,3,0.75,0.75,medium,3
ACC-0075,NOTE-0453,support,base,3,0.8,0.85,high,3
ACC-0075,NOTE-0604,modifier,base,2,0.65,0.8,medium,4
ACC-0075,NOTE-0606,support,base,2,0.7,0.8,medium,4
ACC-0080,NOTE-0485,driver,base,5,0.9,0.75,medium,1
ACC-0080,NOTE-0087,support,base,3,0.8,0.9,high,2
ACC-0080,NOTE-0527,support,base,3,0.7,0.85,high,2
ACC-0080,NOTE-0476,modifier,base,2,0.6,0.9,high,3
ACC-0080,NOTE-0605,driver,heart/base,4,0.85,0.8,high,1
ACC-0084,NOTE-0519,driver,base,5,0.95,0.85,high,1
ACC-0084,NOTE-0496,driver,base,4,0.85,0.9,high,2
ACC-0084,NOTE-0134,support,base,4,0.8,0.9,high,2
ACC-0084,NOTE-0456,support,base,3,0.75,0.95,high,3
ACC-0084,NOTE-0650,support,base,3,0.7,0.85,high,3
ACC-0084,NOTE-0574,modifier,base,2,0.6,0.85,medium,4
ACC-0087,NOTE-0456,driver,base,5,0.98,0.95,high,1
ACC-0087,NOTE-0538,driver,base,4,0.85,0.9,high,2
ACC-0087,NOTE-0496,support,base,4,0.8,0.9,high,2
ACC-0087,NOTE-0457,support,base,3,0.75,0.9,high,3
ACC-0087,NOTE-0134,support,base,3,0.7,0.9,high,3
ACC-0087,NOTE-0484,modifier,base,2,0.65,0.9,high,4
ACC-0090,NOTE-0527,support,base,4,0.8,0.85,high,1
ACC-0090,NOTE-0648,driver,heart,5,0.95,0.85,high,1
ACC-0090,NOTE-0534,driver,heart,4,0.85,0.85,high,2
ACC-0090,NOTE-0480,support,heart,2,0.65,0.85,high,3
ACC-0090,NOTE-0649,support,heart/base,3,0.75,0.85,high,1
ACC-0092,NOTE-0455,modifier,base,2,0.55,0.88,high,1
ACC-0092,NOTE-0456,modifier,base,1,0.6,0.9,medium,2
ACC-0092,NOTE-0205,modifier,base,1,0.65,0.95,high,2
ACC-0092,NOTE-0512,driver,heart,5,0.7,0.85,medium,1
ACC-0092,NOTE-0514,support,heart,4,0.65,0.87,medium,2
ACC-0092,NOTE-0513,support,heart,3,0.6,0.82,medium,3
ACC-0094,NOTE-0465,modifier,base,1,0.7,0.94,high,1
ACC-0094,NOTE-0205,modifier,base,1,0.6,0.95,high,1
ACC-0094,NOTE-0193,driver,heart,5,0.85,0.96,medium,1
ACC-0094,NOTE-0492,driver,heart,5,0.95,0.85,high,1
ACC-0094,NOTE-0645,driver,heart,5,0.9,0.8,high,1
ACC-0094,NOTE-0492,driver,heart,4,0.75,0.92,medium,2
ACC-0094,NOTE-0493,support,heart,4,0.85,0.9,high,2
ACC-0094,NOTE-0493,support,heart,3,0.65,0.9,medium,3
ACC-0094,NOTE-0646,support,heart,3,0.7,0.85,high,3
ACC-0094,NOTE-0494,support,heart,3,0.75,0.85,high,3
ACC-0094,NOTE-0494,modifier,heart,2,0.55,0.88,medium,4
ACC-0094,NOTE-0193,modifier,heart,2,0.8,0.95,high,4
ACC-0095,NOTE-0459,driver,base,5,0.85,0.93,high,1
ACC-0095,NOTE-0459,driver,base,5,0.9,0.95,high,1
ACC-0095,NOTE-0453,driver,base,4,0.85,0.9,high,2
ACC-0095,NOTE-0460,support,base,4,0.75,0.91,high,2
ACC-0095,NOTE-0632,support,base,4,0.75,0.9,high,2
ACC-0095,NOTE-0205,modifier,base,3,0.65,0.95,high,3
ACC-0095,NOTE-0461,support,base,3,0.6,0.9,high,3
ACC-0095,NOTE-0462,support,base,3,0.7,0.85,high,3
ACC-0095,NOTE-0462,modifier,base,2,0.5,0.88,high,4
ACC-0095,NOTE-0633,modifier,base,2,0.8,0.95,high,4
ACC-0097,NOTE-0134,driver,base,5,0.85,0.92,high,1
ACC-0097,NOTE-0452,driver,base,5,0.8,0.93,high,1
ACC-0097,NOTE-0134,driver,base,5,0.95,0.9,high,1
ACC-0097,NOTE-0452,driver,base,5,0.85,0.85,medium,1
ACC-0097,NOTE-0453,support,base,3,0.6,0.88,high,2
ACC-0097,NOTE-0454,support,base,3,0.65,0.87,high,2
ACC-0097,NOTE-0453,support,base,3,0.75,0.85,high,2
ACC-0097,NOTE-0454,support,base,3,0.65,0.9,high,2
ACC-0097,NOTE-0205,modifier,base,2,0.5,0.9,high,3
ACC-0097,NOTE-0453,modifier,base,2,0.45,0.88,high,3
ACC-0097,NOTE-0454,modifier,base,2,0.5,0.87,high,3
ACC-0097,NOTE-0205,modifier,base,2,0.65,0.94,high,3
ACC-0097,NOTE-0630,modifier,base,2,0.5,0.95,high,3
ACC-0097,NOTE-0463,modifier,base,1,0.4,0.9,high,4
ACC-0097,NOTE-0450,support,heart,3,0.55,0.85,medium,1
ACC-0097,NOTE-0450,support,heart,3,0.7,0.9,high,1
ACC-0097,NOTE-0451,support,heart,2,0.45,0.82,medium,2
ACC-0097,NOTE-0451,support,heart,2,0.5,0.83,medium,2
ACC-0097,NOTE-0447,driver,top,5,0.9,0.95,medium,1
ACC-0097,NOTE-0447,driver,top,5,0.98,0.95,high,1
ACC-0097,NOTE-0448,support,top,4,0.75,0.9,medium,2
ACC-0097,NOTE-0449,support,top,4,0.9,0.95,high,2
ACC-0097,NOTE-0449,modifier,top,3,0.7,0.88,low,3
ACC-0097,NOTE-0449,support,top,3,0.7,0.88,low,3
ACC-0098,NOTE-0205,driver,base,4,0.7,0.93,high,1
ACC-0099,NOTE-0205,driver,base,4,0.7,0.93,high,1
ACC-0099,NOTE-0087,support,base,3,0.6,0.9,high,2
ACC-0099,NOTE-0460,support,base,3,0.55,0.88,high,2
ACC-0099,NOTE-0021,modifier,base,2,0.65,0.94,high,3
ACC-0099,NOTE-0465,modifier,base,1,0.35,0.9,high,4
ACC-0099,NOTE-0464,modifier,top,2,0.4,0.82,low,1
ACC-0100,NOTE-0468,support,base,3,0.55,0.85,high,1
ACC-0100,NOTE-0453,modifier,base,2,0.45,0.87,high,2
ACC-0100,NOTE-0205,modifier,base,1,0.6,0.94,high,3
ACC-0100,NOTE-0466,driver,heart,5,0.8,0.92,medium,1
ACC-0100,NOTE-0467,support,heart,4,0.65,0.88,medium,2
ACC-0100,NOTE-0451,modifier,heart,2,0.5,0.83,medium,3
ACC-0101,NOTE-0470,support,base,4,0.65,0.9,high,1
ACC-0101,NOTE-0471,support,base,3,0.5,0.86,high,2
ACC-0101,NOTE-0472,support,base,3,0.55,0.88,high,2
ACC-0101,NOTE-0455,modifier,base,2,0.45,0.87,high,3
ACC-0101,NOTE-0205,modifier,base,1,0.6,0.94,high,4
ACC-0101,NOTE-0469,driver,heart/base,5,0.8,0.92,high,1
ACC-0102,NOTE-0473,driver,base,5,0.75,0.95,high,1
ACC-0102,NOTE-0021,driver,base,4,0.8,0.96,high,2
ACC-0102,NOTE-0476,modifier,base,2,0.65,0.94,high,3
ACC-0102,NOTE-0205,modifier,base,1,0.55,0.93,high,4
ACC-0102,NOTE-0475,modifier,heart,2,0.35,0.8,medium,1
ACC-0102,NOTE-0474,support,top,3,0.5,0.84,low,1
ACC-0103,NOTE-0205,driver,base,4,0.75,0.95,high,1
ACC-0103,NOTE-0087,support,base,3,0.6,0.9,high,2
ACC-0103,NOTE-0021,modifier,base,2,0.65,0.94,high,3
ACC-0103,NOTE-0460,modifier,base,2,0.5,0.88,high,3
ACC-0103,NOTE-0476,modifier,base,1,0.6,0.93,high,4
ACC-0103,NOTE-0464,support,top,3,0.55,0.85,low,1
ACC-0104,NOTE-0205,modifier,base,1,0.6,0.93,high,1
ACC-0104,NOTE-0021,modifier,base,1,0.55,0.92,high,1
ACC-0104,NOTE-0478,support,heart,4,0.65,0.9,medium,1
ACC-0104,NOTE-0479,support,heart,3,0.55,0.86,medium,2
ACC-0104,NOTE-0480,modifier,heart,2,0.5,0.84,medium,3
ACC-0104,NOTE-0477,driver,top/heart,5,0.75,0.88,medium,1
ACC-0105,NOTE-0481,driver,base,5,0.7,0.9,high,1
ACC-0105,NOTE-0087,modifier,base,1,0.6,0.92,high,2
ACC-0105,NOTE-0465,modifier,base,1,0.65,0.93,high,2
ACC-0105,NOTE-0482,support,heart,4,0.6,0.88,medium,1
ACC-0105,NOTE-0483,support,heart,3,0.55,0.86,medium,2
ACC-0105,NOTE-0484,modifier,heart,2,0.5,0.85,medium,3
ACC-0106,NOTE-0471,driver,base,4,0.6,0.85,high,1
ACC-0106,NOTE-0485,support,base,3,0.55,0.87,high,2
ACC-0106,NOTE-0455,modifier,base,2,0.45,0.88,high,3
ACC-0106,NOTE-0476,modifier,base,1,0.6,0.94,high,4
ACC-0106,NOTE-0466,driver,heart,5,0.7,0.88,medium,1
ACC-0106,NOTE-0467,support,heart,3,0.5,0.86,medium,2
ACC-0107,NOTE-0473,support,base,3,0.6,0.92,high,1
ACC-0107,NOTE-0205,modifier,base,2,0.65,0.94,high,2
ACC-0107,NOTE-0021,modifier,base,2,0.7,0.95,high,2
ACC-0107,NOTE-0476,modifier,base,1,0.6,0.93,high,3
ACC-0107,NOTE-0486,driver,heart,5,0.65,0.82,medium,1
ACC-0107,NOTE-0464,support,top,3,0.55,0.84,low,1
ACC-0108,NOTE-0205,modifier,base,2,0.65,0.94,high,1
ACC-0108,NOTE-0021,modifier,base,1,0.6,0.93,high,2
ACC-0108,NOTE-0476,modifier,base,1,0.55,0.92,high,2
ACC-0108,NOTE-0487,driver,top,5,0.75,0.9,medium,1
ACC-0108,NOTE-0488,support,top,4,0.7,0.88,low,2
ACC-0108,NOTE-0489,support,top,3,0.55,0.83,low,3
ACC-0109,NOTE-0205,modifier,base,1,0.55,0.94,high,1
ACC-0109,NOTE-0476,modifier,base,1,0.5,0.93,high,1
ACC-0109,NOTE-0449,driver,top,5,0.9,0.95,low,1
ACC-0109,NOTE-0490,support,top,4,0.8,0.92,low,2
ACC-0109,NOTE-0489,support,top,3,0.65,0.88,low,3
ACC-0109,NOTE-0491,modifier,top,2,0.6,0.9,low,4
ACC-0110,NOTE-0456,driver,base,5,0.9,0.94,medium,1
ACC-0110,NOTE-0495,support,base,4,0.75,0.92,medium,2
ACC-0110,NOTE-0496,support,base,3,0.65,0.9,high,3
ACC-0110,NOTE-0457,modifier,base,2,0.6,0.91,high,4
ACC-0110,NOTE-0087,modifier,base,1,0.55,0.93,high,5
ACC-0110,NOTE-0465,modifier,base,1,0.6,0.94,high,5
ACC-0111,NOTE-0205,driver,base,5,0.95,0.97,high,1
ACC-0111,NOTE-0021,driver,base,5,0.95,0.95,high,1
ACC-0111,NOTE-0016,driver,base,5,0.7,0.97,high,1
ACC-0111,NOTE-0021,driver,base,4,0.85,0.96,high,2
ACC-0111,NOTE-0459,driver,base,4,0.85,0.95,high,2
ACC-0111,NOTE-0205,support,base,4,0.8,0.95,high,2
ACC-0111,NOTE-0094,support,base,4,0.65,0.96,high,2
ACC-0111,NOTE-0459,support,base,3,0.75,0.92,high,3
ACC-0111,NOTE-0460,support,base,3,0.7,0.91,high,3
ACC-0111,NOTE-0455,support,base,3,0.75,0.85,medium,3
ACC-0111,NOTE-0354,support,base,3,0.6,0.96,high,3
ACC-0111,NOTE-0087,modifier,base,2,0.65,0.93,high,4
ACC-0111,NOTE-0453,modifier,base,2,0.65,0.85,high,4
ACC-0111,NOTE-0021,modifier,base,2,0.65,0.98,high,4
ACC-0111,NOTE-0456,support,base,2,0.7,0.95,high,4
ACC-0111,NOTE-0476,modifier,base,1,0.6,0.95,high,5
ACC-0111,NOTE-0269,modifier,base,1,0.7,0.97,high,5
ACC-0112,NOTE-0021,modifier,base,1,0.7,0.94,high,1
ACC-0112,NOTE-0205,modifier,base,1,0.6,0.95,high,1
ACC-0112,NOTE-0499,modifier,heart,2,0.65,0.9,medium,1
ACC-0112,NOTE-0497,driver,top,5,0.8,0.9,low,1
ACC-0112,NOTE-0464,support,top,4,0.7,0.88,low,2
ACC-0112,NOTE-0498,support,top,3,0.75,0.92,low,3
ACC-0113,NOTE-0465,modifier,base,1,0.6,0.94,high,1
ACC-0113,NOTE-0500,driver,heart,5,0.9,0.95,medium,1
ACC-0113,NOTE-0501,driver,heart,4,0.75,0.92,medium,2
ACC-0113,NOTE-0502,support,heart,3,0.7,0.9,medium,3
ACC-0113,NOTE-0503,support,heart,3,0.65,0.88,medium,3
ACC-0113,NOTE-0504,modifier,heart,2,0.55,0.93,medium,4
ACC-0114,NOTE-0505,driver,base,5,0.95,0.97,high,1
ACC-0114,NOTE-0476,driver,base,4,0.85,0.96,high,2
ACC-0114,NOTE-0506,support,base,3,0.7,0.95,high,3
ACC-0114,NOTE-0507,support,base,3,0.65,0.94,high,3
ACC-0114,NOTE-0205,modifier,base,2,0.75,0.96,high,4
ACC-0114,NOTE-0508,modifier,base,1,0.6,0.95,high,5
ACC-0115,NOTE-0465,modifier,base,1,0.65,0.94,high,1
ACC-0115,NOTE-0269,modifier,base,1,0.7,0.97,high,1
ACC-0115,NOTE-0511,support,heart,3,0.65,0.9,medium,1
ACC-0115,NOTE-0209,support,heart,3,0.55,0.95,medium,1
ACC-0115,NOTE-0504,modifier,heart,2,0.6,0.92,medium,2
ACC-0115,NOTE-0193,modifier,heart,2,0.75,0.96,medium,2
ACC-0115,NOTE-0338,modifier,heart,2,0.5,0.94,medium,2
ACC-0115,NOTE-0303,driver,top,5,0.65,0.94,medium,1
ACC-0115,NOTE-0510,support,top,4,0.8,0.93,low,2
ACC-0115,NOTE-0027,support,top,4,0.6,0.93,medium,2
ACC-0115,NOTE-0509,driver,top/heart,5,0.85,0.94,medium,1
ACC-0116,NOTE-0455,support,base,3,0.6,0.9,high,1
ACC-0116,NOTE-0456,modifier,base,2,0.55,0.92,medium,2
ACC-0116,NOTE-0458,modifier,base,1,0.5,0.88,high,3
ACC-0116,NOTE-0513,support,heart,4,0.7,0.86,medium,1
ACC-0116,NOTE-0514,support,heart,3,0.65,0.85,medium,2
ACC-0116,NOTE-0512,driver,top/heart,5,0.75,0.88,medium,1
ACC-0117,NOTE-0452,driver,base,4,0.7,0.93,high,1
ACC-0117,NOTE-0455,support,base,3,0.65,0.9,high,2
ACC-0117,NOTE-0515,support,base,3,0.6,0.89,high,2
ACC-0117,NOTE-0205,modifier,base,1,0.7,0.95,high,3
ACC-0117,NOTE-0501,modifier,heart,2,0.55,0.88,medium,1
ACC-0117,NOTE-0449,driver,top,5,0.85,0.92,low,1
ACC-0118,NOTE-0021,modifier,base,1,0.7,0.94,high,1
ACC-0118,NOTE-0205,modifier,base,1,0.75,0.95,high,1
ACC-0118,NOTE-0499,modifier,heart,2,0.65,0.9,medium,1
ACC-0118,NOTE-0464,driver,top,5,0.75,0.88,low,1
ACC-0118,NOTE-0497,support,top,4,0.7,0.86,low,2
ACC-0118,NOTE-0498,support,top,3,0.8,0.92,low,3
ACC-0119,NOTE-0452,driver,base,5,0.75,0.93,high,1
ACC-0119,NOTE-0515,support,base,4,0.7,0.91,high,2
ACC-0119,NOTE-0453,support,base,3,0.65,0.9,high,3
ACC-0119,NOTE-0205,modifier,base,1,0.7,0.95,high,4
ACC-0119,NOTE-0476,modifier,base,1,0.65,0.94,high,4
ACC-0119,NOTE-0477,modifier,heart,2,0.55,0.86,medium,1
ACC-0120,NOTE-0471,driver,base,5,0.65,0.86,high,1
ACC-0120,NOTE-0485,support,base,4,0.6,0.88,high,2
ACC-0120,NOTE-0516,support,base,3,0.55,0.85,high,3
ACC-0120,NOTE-0455,modifier,base,2,0.5,0.87,high,4
ACC-0120,NOTE-0087,modifier,base,1,0.6,0.92,high,5
ACC-0120,NOTE-0476,modifier,base,1,0.65,0.94,high,5
ACC-0121,NOTE-0459,modifier,base,2,0.6,0.89,high,1
ACC-0121,NOTE-0205,modifier,base,1,0.65,0.95,high,2
ACC-0121,NOTE-0465,modifier,base,1,0.6,0.94,high,2
ACC-0121,NOTE-0517,driver,heart,5,0.7,0.9,medium,1
ACC-0121,NOTE-0518,support,heart,4,0.65,0.88,medium,2
ACC-0121,NOTE-0169,support,top,3,0.55,0.85,medium,1
ACC-0122,NOTE-0505,modifier,base,1,0.85,0.97,high,1
ACC-0122,NOTE-0205,modifier,base,1,0.75,0.96,high,1
ACC-0122,NOTE-0509,support,heart,4,0.75,0.92,medium,1
ACC-0122,NOTE-0193,support,heart,3,0.8,0.95,medium,2
ACC-0122,NOTE-0499,modifier,heart,2,0.7,0.9,medium,3
ACC-0122,NOTE-0474,driver,top,5,0.8,0.9,low,1
ACC-0123,NOTE-0519,driver,base,5,0.7,0.9,high,1
ACC-0123,NOTE-0520,support,base,4,0.65,0.88,medium,2
ACC-0123,NOTE-0496,support,base,3,0.6,0.91,high,3
ACC-0123,NOTE-0456,modifier,base,2,0.55,0.92,medium,4
ACC-0123,NOTE-0458,modifier,base,1,0.5,0.88,high,5
ACC-0123,NOTE-0465,modifier,base,1,0.6,0.94,high,5
