Material_Name,CAS,IFRA_Type,Category_4_Limit,Phototoxic,Notes,IFRA_Key,IFRA_Standard_Name,All_CAS,Amendment,Prohibition_Scope
Longifolene,475-20-7,Restriction,1.5,No,,IFRA_STD_199,Longifolene,475-20-7|16846-09-6|19067-29-9,49,
Sandalore,65113-99-7,Restriction,1.2,No,,IFRA_STD_212,"5-(2,2,3-Trimethyl-3-cyclopentenyl)-3-methylpentan-2-ol",65113-99-7,49,
Polysantol,107898-54-4,Restriction,1.1,No,,IFRA_STD_211,"3,3-Dimethyl-5-(2,2,3-trimethyl-3-cyclopenten-1-yl)-4-penten-2-ol",107898-54-4,49,
Raspberry ketone,5471-51-2,Restriction,1,No,Depigmentation,IFRA_STD_217,4-(4-Hydroxyphenyl)butan-2-one,5471-51-2,49,
Bergamot oil expressed,8007-75-8,Restriction,0.4,Yes,Furocoumarin,IFRA_STD_087,Bergamot oil expressed,8007-75-8|89957-91-5,49,
Lemon oil cold pressed,8008-56-8,Restriction,2,Yes,Furocoumarin,IFRA_STD_092,Lemon oil cold pressed,8008-56-8|84929-31-7,49,
Lime oil expressed,8008-26-2,Restriction,0.7,Yes,Furocoumarin,IFRA_STD_093,Lime oil expressed,8008-26-2|90063-52-8,49,
Grapefruit oil expressed,8016-20-4,Restriction,4,Yes,Furocoumarin,IFRA_STD_091,Grapefruit oil expressed,8016-20-4|90045-43-5,49,
Bitter orange peel oil,68916-04-1,Restriction,1.25,Yes,Furocoumarin,IFRA_STD_088,Bitter orange peel oil expressed,68916-04-1|72968-50-4,49,
Angelica root oil,8015-64-3,Restriction,0.8,Yes,Furocoumarin,IFRA_STD_086,Angelica root oil,8015-64-3|84775-41-7,49,
Cumin oil,8014-13-9,Restriction,0.4,Yes,Furocoumarin,IFRA_STD_090,Cumin oil,8014-13-9|84775-51-9,49,
Rue oil,8014-29-7,Restriction,0.15,Yes,Furocoumarin,IFRA_STD_096,Rue oil,8014-29-7|84929-47-5,49,
Methyl N-methylanthranilate,85-91-6,Restriction_Specification,0.10,Yes,Phototoxic (own) - NOT part of furocoumarin sum; nitrosamine potential -> notify downstream,IFRA_STD_094,Methyl N-methylanthranilate,85-91-6,51,
Acetyl hexamethyl indan,15323-35-0,Restriction,2,Yes,AHMI; phototoxic (own) - NOT part of furocoumarin sum,IFRA_STD_085,Acetyl hexamethyl indan (AHMI),15323-35-0,49,
Methyl beta-naphthyl ketone,93-08-3,Restriction,0.2,Yes,Phototoxic (own) - NOT part of furocoumarin sum,IFRA_STD_095,Methyl beta-naphthyl ketone,93-08-3,49,
Tagetes oil,91722-29-1,Prohibition_Restriction_Specification,0.01,Yes,"T. erecta PROHIBITED (also UK/EU Annex II); T. patula/minuta only, alpha-terthienyl <=0.35%; phototoxic (own) - NOT part of furocoumarin sum",IFRA_STD_097,Tagetes oil and absolute,90131-43-4|8016-84-0|91722-29-1|8016-84-0|91770-75-1,49,grade
Methyl heptine carbonate,111-12-6,Restriction,0.047,No,MHC+MOC combined <= MHC limit (reaction_rules.csv),IFRA_STD_062,Methyl heptine carbonate,111-12-6,49,
Methyl octine carbonate,111-80-8,Restriction,0.01,No,Also MHC+MOC combined <= MHC limit,IFRA_STD_064,Methyl octine carbonate,111-80-8,49,
Costus root oil,8023-88-9,Prohibition,,No,PROHIBITED (also UK/EU Annex II),IFRA_STD_124,"Costus root oil, absolute and concrete",8023-88-9|90106-55-1,40,all
Cade oil,8013-10-3,Prohibition_Specification,,No,"Crude PROHIBITED; rectified only, PAH markers (benzopyrene + 1,2-benzanthracene) <=1 ppb in final product, summed with rectified birch tar/styrax/opoponax",IFRA_STD_119,Cade oil,8013-10-3|90046-02-9,47,grade
Birch tar,8001-88-5,Prohibition_Specification,,No,"Crude PROHIBITED; rectified only, same PAH <=1 ppb rule as cade oil",IFRA_STD_114,Birch wood pyrolysate,8001-88-5|68917-50-0|84012-15-7|85251-66-7|85940-29-0|91745-85-6,47,grade
Styrax,8046-19-3,Prohibition_Restriction_Specification,0.64,No,"Crude gum PROHIBITED; resinoid/absolute/oil restricted; pyrolysis oil must be rectified, PAH <=1 ppb",IFRA_STD_078,Styrax,8046-19-3|8024-01-9|94891-27-7|94891-28-8|101227-15-0,49,grade
Musk ambrette,83-66-9,Prohibition,,No,PROHIBITED (also UK/EU Annex II); appears throughout Carles' accords,IFRA_STD_168,Musk ambrette,83-66-9,40,all
Musk ketone,81-14-1,Specification,,No,Spec: musk xylene impurity <0.1%. UK/EU Annex III cap 1.4 in fine fragrance,IFRA_STD_189,Musk ketone,81-14-1,45,
Jasmine absolute (grandiflorum),8022-96-6,Restriction,0.6,No,,IFRA_STD_049,Jasmine absolute (grandiflorum),8022-96-6|8024-43-9|90045-94-6|84776-64-7,49,
Jasmine absolute (sambac),91770-14-8,Restriction,3.8,No,,IFRA_STD_050,Jasmine absolute (sambac),91770-14-8|1034798-23-6,49,
Ylang ylang extracts,8006-81-3,Restriction,0.73,No,,IFRA_STD_084,Ylang ylang extracts,8006-81-3|68606-83-7|83863-30-3,49,
Opoponax,8021-36-1,Restriction_Specification,0.43,No,Rectified oil: PAH <=1 ppb rule,IFRA_STD_070,Opoponax,8021-36-1|9000-78-6|93384-32-8,49,
Verbena absolute,85116-63-8,Restriction_Prohibition,0.69,Yes,Verbena OIL prohibited for sensitization + phototoxicity (also UK/EU Annex II); only the absolute is allowed. Phototoxicity handled by the oil prohibition - NOT part of furocoumarin sum (not in Guidance Table 2 or 3),IFRA_STD_083,Verbena oil and absolute (Lippia citriodora Kunth.),8024-12-2|85116-63-8,49,grade
Melissa oil,8014-71-9,Restriction,0.6,No,,IFRA_STD_051,Melissa oil (genuine Melissa officinalis L.),8014-71-9|84082-61-1,49,
Tea leaf absolute,84650-60-2,Restriction,0.21,No,,IFRA_STD_079,Tea leaf absolute,84650-60-2,49,
Hexyl salicylate,6259-76-3,Restriction,6.5,No,,IFRA_STD_042,Hexyl salicylate,6259-76-3,49,
Acetylated vetiver oil,84082-84-8,Restriction,0.9,No,,IFRA_STD_002,Acetylated Vetiver oil,84082-84-8|68917-34-0|73246-97-6|62563-80-8,49,
Methyl eugenol,93-15-2,Restriction,0.011,No,"Natural constituent of rose, basil, bay, pimento, nutmeg oils -> sum contributions. UK/EU Annex III cap 0.01",IFRA_STD_100,Methyl eugenol,93-15-2,51,
Estragole,140-67-0,Restriction,0.014,No,"Natural constituent of basil, tarragon, fennel, anise oils -> sum contributions",IFRA_STD_099,Estragole,140-67-0|1407-27-8|77525-18-9,51,
Safranal,116-26-7,Restriction,0.012,No,Major volatile of saffron extracts,IFRA_STD_082,"2,6,6-Trimethylcyclohex-1,3-dienyl methanal",116-26-7,49,
Safrole,94-59-7,Prohibition_Restriction,0.01,No,"As such PROHIBITED; natural contribution (nutmeg, sassafras, camphor oils) <=0.01% total in finished product (also UK/EU Annex II: <=100 ppm)",IFRA_STD_179,"Safrole, Isosafrole and Dihydrosafrole",94-59-7|120-58-1|94-58-6,17,as_such
HICC (Lyral),31906-04-4,Restriction,0.2,No,IFRA restricts (HMPCC) but BANNED in UK/EU since 2021 -> regulatory_uk.csv REJECTS it,IFRA_STD_044,3 and 4-(4-Hydroxy-4-methylpentyl)-3-cyclohexene-1-carboxaldehyde (HMPCC),31906-04-4|51414-25-6,49,
Dihydrocoumarin,119-84-6,Restriction,0.21,No,IFRA restricts but BANNED in UK/EU Annex II -> regulatory_uk.csv REJECTS it,IFRA_STD_029,Dihydrocoumarin,119-84-6,51,
Methyl 2-(formylamino)benzoate,41270-80-8,Restriction_Specification,0.1,Yes,"Phototoxic (own, Guidance Table 2) - NOT part of furocoumarin sum",IFRA_STD_101,Methyl N-formylanthranilate,41270-80-8,49,
