Accord_ID,Accord_Name,Accord_Category,Note_ID,Note_Name,Note_Role,Layer,Importance_Weight,Typical_Presence,Blend_Compatibility,Stability_Class
ACC-0103,Cold Metallic Wood,Abstract,NOTE-0087,Cashmeran,Support,Base,3,0.6,0.9,High
ACC-0103,Cold Metallic Wood,Abstract,NOTE-0021,Ambroxan,Modifier,Base,2,0.65,0.94,High
ACC-0103,Cold Metallic Wood,Abstract,NOTE-0460,Vetiveryl Acetate,Modifier,Base,2,0.5,0.88,High
ACC-0103,Cold Metallic Wood,Abstract,NOTE-0476,Habanolide,Modifier,Base,1,0.6,0.93,High
ACC-0104,Bitter Sap,Green Resinous,NOTE-0477,Galbanum Resin,Driver,Top/Heart,5,0.75,0.88,Medium
ACC-0104,Bitter Sap,Green Resinous,NOTE-0478,Elemi Resin,Support,Heart,4,0.65,0.9,Medium
ACC-0104,Bitter Sap,Green Resinous,NOTE-0479,Lentisque Absolute,Support,Heart,3,0.55,0.86,Medium
ACC-0104,Bitter Sap,Green Resinous,NOTE-0480,Violet Leaf Absolute,Modifier,Heart,2,0.5,0.84,Medium
ACC-0104,Bitter Sap,Green Resinous,NOTE-0205,Iso E Super,Modifier,Base,1,0.6,0.93,High
ACC-0104,Bitter Sap,Green Resinous,NOTE-0021,Ambroxan,Modifier,Base,1,0.55,0.92,High
ACC-0105,Dusty Powder,Abstract Powdery,NOTE-0481,Orris Concrete,Driver,Base,5,0.7,0.9,High
ACC-0105,Dusty Powder,Abstract Powdery,NOTE-0482,Rice Powder Accord,Support,Heart,4,0.6,0.88,Medium
ACC-0105,Dusty Powder,Abstract Powdery,NOTE-0483,Mimosa Absolute,Support,Heart,3,0.55,0.86,Medium
ACC-0105,Dusty Powder,Abstract Powdery,NOTE-0484,Heliotropin,Modifier,Heart,2,0.5,0.85,Medium
ACC-0105,Dusty Powder,Abstract Powdery,NOTE-0087,Cashmeran,Modifier,Base,1,0.6,0.92,High
ACC-0105,Dusty Powder,Abstract Powdery,NOTE-0465,Musk Ketone,Modifier,Base,1,0.65,0.93,High
ACC-0106,Smoked Tea Leather,Hybrid,NOTE-0466,Black Tea Absolute,Driver,Heart,5,0.7,0.88,Medium
ACC-0106,Smoked Tea Leather,Hybrid,NOTE-0471,Birch Tar Rectified,Driver,Base,4,0.6,0.85,High
ACC-0106,Smoked Tea Leather,Hybrid,NOTE-0485,IsoButyl Quinoline,Support,Base,3,0.55,0.87,High
ACC-0106,Smoked Tea Leather,Hybrid,NOTE-0467,Mate Absolute,Support,Heart,3,0.5,0.86,Medium
ACC-0106,Smoked Tea Leather,Hybrid,NOTE-0455,Labdanum Absolute,Modifier,Base,2,0.45,0.88,High
ACC-0106,Smoked Tea Leather,Hybrid,NOTE-0476,Habanolide,Modifier,Base,1,0.6,0.94,High
ACC-0107,Wet Stone,Mineral,NOTE-0486,Geosmin Trace,Driver,Heart,5,0.65,0.82,Medium
ACC-0107,Wet Stone,Mineral,NOTE-0464,Aldehyde C-12 MNA,Support,Top,3,0.55,0.84,Low
ACC-0107,Wet Stone,Mineral,NOTE-0473,Ambergris Accord,Support,Base,3,0.6,0.92,High
ACC-0107,Wet Stone,Mineral,NOTE-0205,Iso E Super,Modifier,Base,2,0.65,0.94,High
ACC-0107,Wet Stone,Mineral,NOTE-0021,Ambroxan,Modifier,Base,2,0.7,0.95,High
ACC-0107,Wet Stone,Mineral,NOTE-0476,Habanolide,Modifier,Base,1,0.6,0.93,High
ACC-0108,Cold Spice,Abstract Spicy,NOTE-0487,Cardamom CO₂,Driver,Top,5,0.75,0.9,Medium
ACC-0108,Cold Spice,Abstract Spicy,NOTE-0488,Pink Pepper CO₂,Support,Top,4,0.7,0.88,Low
ACC-0108,Cold Spice,Abstract Spicy,NOTE-0489,Aldehyde C-10,Support,Top,3,0.55,0.83,Low
ACC-0108,Cold Spice,Abstract Spicy,NOTE-0205,Iso E Super,Modifier,Base,2,0.65,0.94,High
ACC-0108,Cold Spice,Abstract Spicy,NOTE-0021,Ambroxan,Modifier,Base,1,0.6,0.93,High
ACC-0108,Cold Spice,Abstract Spicy,NOTE-0476,Habanolide,Modifier,Base,1,0.55,0.92,High
ACC-0109,Fresh Citrus,Citrus,NOTE-0449,Bergamot Oil,Driver,Top,5,0.9,0.95,Low
ACC-0109,Fresh Citrus,Citrus,NOTE-0490,Lemon Oil,Support,Top,4,0.8,0.92,Low
ACC-0109,Fresh Citrus,Citrus,NOTE-0489,Aldehyde C-10,Support,Top,3,0.65,0.88,Low
ACC-0109,Fresh Citrus,Citrus,NOTE-0491,Petitgrain Oil,Modifier,Top,2,0.6,0.9,Low
ACC-0109,Fresh Citrus,Citrus,NOTE-0205,Iso E Super,Modifier,Base,1,0.55,0.94,High
ACC-0109,Fresh Citrus,Citrus,NOTE-0476,Habanolide,Modifier,Base,1,0.5,0.93,High
ACC-0094,White Floral,Floral,NOTE-0193,Hedione,Driver,Heart,5,0.85,0.96,Medium
ACC-0094,White Floral,Floral,NOTE-0492,Jasmine Absolute,Driver,Heart,4,0.75,0.92,Medium
ACC-0094,White Floral,Floral,NOTE-0493,Orange Blossom Absolute,Support,Heart,3,0.65,0.9,Medium
ACC-0094,White Floral,Floral,NOTE-0494,Ylang-Ylang Extra,Modifier,Heart,2,0.55,0.88,Medium
ACC-0094,White Floral,Floral,NOTE-0465,Musk Ketone,Modifier,Base,1,0.7,0.94,High
ACC-0094,White Floral,Floral,NOTE-0205,Iso E Super,Modifier,Base,1,0.6,0.95,High
ACC-0110,Vanilla Gourmand,Gourmand,NOTE-0456,Vanillin,Driver,Base,5,0.9,0.94,Medium
ACC-0110,Vanilla Gourmand,Gourmand,NOTE-0495,Ethyl Maltol,Support,Base,4,0.75,0.92,Medium
ACC-0110,Vanilla Gourmand,Gourmand,NOTE-0496,Tonka Bean Absolute,Support,Base,3,0.65,0.9,High
ACC-0110,Vanilla Gourmand,Gourmand,NOTE-0457,Benzoin Siam,Modifier,Base,2,0.6,0.91,High
ACC-0110,Vanilla Gourmand,Gourmand,NOTE-0087,Cashmeran,Modifier,Base,1,0.55,0.93,High
ACC-0110,Vanilla Gourmand,Gourmand,NOTE-0465,Musk Ketone,Modifier,Base,1,0.6,0.94,High
ACC-0111,Woody Amber,Woody Amber,NOTE-0205,Iso E Super,Driver,Base,5,0.95,0.97,High
ACC-0111,Woody Amber,Woody Amber,NOTE-0021,Ambroxan,Driver,Base,4,0.85,0.96,High
ACC-0111,Woody Amber,Woody Amber,NOTE-0459,Cedarwood Virginia,Support,Base,3,0.75,0.92,High
ACC-0111,Woody Amber,Woody Amber,NOTE-0460,Vetiveryl Acetate,Support,Base,3,0.7,0.91,High
ACC-0111,Woody Amber,Woody Amber,NOTE-0087,Cashmeran,Modifier,Base,2,0.65,0.93,High
ACC-0111,Woody Amber,Woody Amber,NOTE-0476,Habanolide,Modifier,Base,1,0.6,0.95,High
ACC-0112,Aquatic Fresh,Fresh Aquatic,NOTE-0497,Calone,Driver,Top,5,0.8,0.9,Low
ACC-0112,Aquatic Fresh,Fresh Aquatic,NOTE-0464,Aldehyde C-12 MNA,Support,Top,4,0.7,0.88,Low
ACC-0112,Aquatic Fresh,Fresh Aquatic,NOTE-0498,Dihydromyrcenol,Support,Top,3,0.75,0.92,Low
ACC-0112,Aquatic Fresh,Fresh Aquatic,NOTE-0499,Lavender Oil,Modifier,Heart,2,0.65,0.9,Medium
ACC-0112,Aquatic Fresh,Fresh Aquatic,NOTE-0021,Ambroxan,Modifier,Base,1,0.7,0.94,High
ACC-0112,Aquatic Fresh,Fresh Aquatic,NOTE-0205,Iso E Super,Modifier,Base,1,0.6,0.95,High
ACC-0113,Rose Floral,Floral,NOTE-0500,Phenyl Ethyl Alcohol,Driver,Heart,5,0.9,0.95,Medium
ACC-0113,Rose Floral,Floral,NOTE-0501,Rose Absolute,Driver,Heart,4,0.75,0.92,Medium
ACC-0113,Rose Floral,Floral,NOTE-0502,Geraniol,Support,Heart,3,0.7,0.9,Medium
ACC-0113,Rose Floral,Floral,NOTE-0503,Citronellol,Support,Heart,3,0.65,0.88,Medium
ACC-0113,Rose Floral,Floral,NOTE-0504,Damascenone,Modifier,Heart,2,0.55,0.93,Medium
ACC-0113,Rose Floral,Floral,NOTE-0465,Musk Ketone,Modifier,Base,1,0.6,0.94,High
ACC-0114,Clean Musk,Musk,NOTE-0505,Galaxolide,Driver,Base,5,0.95,0.97,High
ACC-0114,Clean Musk,Musk,NOTE-0476,Habanolide,Driver,Base,4,0.85,0.96,High
ACC-0114,Clean Musk,Musk,NOTE-0506,Helvetolide,Support,Base,3,0.7,0.95,High
ACC-0114,Clean Musk,Musk,NOTE-0507,Ambrettolide,Support,Base,3,0.65,0.94,High
ACC-0114,Clean Musk,Musk,NOTE-0205,Iso E Super,Modifier,Base,2,0.75,0.96,High
ACC-0114,Clean Musk,Musk,NOTE-0508,Ethylene Brassylate,Modifier,Base,1,0.6,0.95,High
ACC-0115,Fruity Floral,Fruity Floral,NOTE-0509,Linalool,Driver,Top/Heart,5,0.85,0.94,Medium
ACC-0115,Fruity Floral,Fruity Floral,NOTE-0510,Linalyl Acetate,Support,Top,4,0.8,0.93,Low
ACC-0115,Fruity Floral,Fruity Floral,NOTE-0511,Gamma-Undecalactone,Support,Heart,3,0.65,0.9,Medium
ACC-0115,Fruity Floral,Fruity Floral,NOTE-0504,Damascenone,Modifier,Heart,2,0.6,0.92,Medium
ACC-0115,Fruity Floral,Fruity Floral,NOTE-0193,Hedione,Modifier,Heart,2,0.75,0.96,Medium
ACC-0115,Fruity Floral,Fruity Floral,NOTE-0465,Musk Ketone,Modifier,Base,1,0.65,0.94,High
ACC-0116,Spicy Oriental,Oriental Spicy,NOTE-0512,Cinnamon Bark Oil,Driver,Top/Heart,5,0.75,0.88,Medium
ACC-0116,Spicy Oriental,Oriental Spicy,NOTE-0513,Clove Bud Oil,Support,Heart,4,0.7,0.86,Medium
ACC-0116,Spicy Oriental,Oriental Spicy,NOTE-0514,Nutmeg Oil,Support,Heart,3,0.65,0.85,Medium
ACC-0116,Spicy Oriental,Oriental Spicy,NOTE-0455,Labdanum Absolute,Support,Base,3,0.6,0.9,High
ACC-0116,Spicy Oriental,Oriental Spicy,NOTE-0456,Vanillin,Modifier,Base,2,0.55,0.92,Medium
ACC-0116,Spicy Oriental,Oriental Spicy,NOTE-0458,Patchouli Alcohol,Modifier,Base,1,0.5,0.88,High
ACC-0117,Soft Chypre,Chypre,NOTE-0449,Bergamot Oil,Driver,Top,5,0.85,0.92,Low
ACC-0117,Soft Chypre,Chypre,NOTE-0452,Oakmoss Absolute,Driver,Base,4,0.7,0.93,High
ACC-0117,Soft Chypre,Chypre,NOTE-0455,Labdanum Absolute,Support,Base,3,0.65,0.9,High
ACC-0117,Soft Chypre,Chypre,NOTE-0515,Patchouli Heart,Support,Base,3,0.6,0.89,High
ACC-0117,Soft Chypre,Chypre,NOTE-0501,Rose Absolute,Modifier,Heart,2,0.55,0.88,Medium
ACC-0117,Soft Chypre,Chypre,NOTE-0205,Iso E Super,Modifier,Base,1,0.7,0.95,High
ACC-0113,Rose Floral,Floral,NOTE-0500,Phenyl Ethyl Alcohol,Driver,Heart,5,0.9,0.95,Medium
ACC-0113,Rose Floral,Floral,NOTE-0501,Rose Absolute,Driver,Heart,4,0.75,0.92,Medium
ACC-0113,Rose Floral,Floral,NOTE-0502,Geraniol,Support,Heart,3,0.7,0.9,Medium
ACC-0113,Rose Floral,Floral,NOTE-0503,Citronellol,Support,Heart,3,0.65,0.88,Medium
ACC-0113,Rose Floral,Floral,NOTE-0504,Damascenone,Modifier,Heart,2,0.55,0.93,Medium
ACC-0113,Rose Floral,Floral,NOTE-0465,Musk Ketone,Modifier,Base,1,0.6,0.94,High
ACC-0114,Clean Musk,Musk,NOTE-0505,Galaxolide,Driver,Base,5,0.95,0.97,High
ACC-0114,Clean Musk,Musk,NOTE-0476,Habanolide,Driver,Base,4,0.85,0.96,High
ACC-0114,Clean Musk,Musk,NOTE-0506,Helvetolide,Support,Base,3,0.7,0.95,High
ACC-0114,Clean Musk,Musk,NOTE-0507,Ambrettolide,Support,Base,3,0.65,0.94,High
ACC-0114,Clean Musk,Musk,NOTE-0205,Iso E Super,Modifier,Base,2,0.75,0.96,High
ACC-0114,Clean Musk,Musk,NOTE-0508,Ethylene Brassylate,Modifier,Base,1,0.6,0.95,High
ACC-0115,Fruity Floral,Fruity Floral,NOTE-0509,Linalool,Driver,Top/Heart,5,0.85,0.94,Medium
ACC-0115,Fruity Floral,Fruity Floral,NOTE-0510,Linalyl Acetate,Support,Top,4,0.8,0.93,Low
ACC-0115,Fruity Floral,Fruity Floral,NOTE-0511,Gamma-Undecalactone,Support,Heart,3,0.65,0.9,Medium
ACC-0115,Fruity Floral,Fruity Floral,NOTE-0504,Damascenone,Modifier,Heart,2,0.6,0.92,Medium
ACC-0115,Fruity Floral,Fruity Floral,NOTE-0193,Hedione,Modifier,Heart,2,0.75,0.96,Medium
ACC-0115,Fruity Floral,Fruity Floral,NOTE-0465,Musk Ketone,Modifier,Base,1,0.65,0.94,High
ACC-0116,Spicy Oriental,Oriental Spicy,NOTE-0512,Cinnamon Bark Oil,Driver,Top/Heart,5,0.75,0.88,Medium
ACC-0116,Spicy Oriental,Oriental Spicy,NOTE-0513,Clove Bud Oil,Support,Heart,4,0.7,0.86,Medium
ACC-0116,Spicy Oriental,Oriental Spicy,NOTE-0514,Nutmeg Oil,Support,Heart,3,0.65,0.85,Medium
ACC-0116,Spicy Oriental,Oriental Spicy,NOTE-0455,Labdanum Absolute,Support,Base,3,0.6,0.9,High
ACC-0116,Spicy Oriental,Oriental Spicy,NOTE-0456,Vanillin,Modifier,Base,2,0.55,0.92,Medium
ACC-0116,Spicy Oriental,Oriental Spicy,NOTE-0458,Patchouli Alcohol,Modifier,Base,1,0.5,0.88,High
ACC-0117,Soft Chypre,Chypre,NOTE-0449,Bergamot Oil,Driver,Top,5,0.85,0.92,Low
ACC-0117,Soft Chypre,Chypre,NOTE-0452,Oakmoss Absolute,Driver,Base,4,0.7,0.93,High
ACC-0117,Soft Chypre,Chypre,NOTE-0455,Labdanum Absolute,Support,Base,3,0.65,0.9,High
ACC-0117,Soft Chypre,Chypre,NOTE-0515,Patchouli Heart,Support,Base,3,0.6,0.89,High
ACC-0117,Soft Chypre,Chypre,NOTE-0501,Rose Absolute,Modifier,Heart,2,0.55,0.88,Medium
ACC-0117,Soft Chypre,Chypre,NOTE-0205,Iso E Super,Modifier,Base,1,0.7,0.95,High
ACC-0118,Ozonic Fresh,Fresh,NOTE-0464,Aldehyde C-12 MNA,Driver,Top,5,0.75,0.88,Low
ACC-0118,Ozonic Fresh,Fresh,NOTE-0497,Calone,Support,Top,4,0.7,0.86,Low
ACC-0118,Ozonic Fresh,Fresh,NOTE-0498,Dihydromyrcenol,Support,Top,3,0.8,0.92,Low
ACC-0118,Ozonic Fresh,Fresh,NOTE-0499,Lavender Oil,Modifier,Heart,2,0.65,0.9,Medium
ACC-0118,Ozonic Fresh,Fresh,NOTE-0021,Ambroxan,Modifier,Base,1,0.7,0.94,High
ACC-0118,Ozonic Fresh,Fresh,NOTE-0205,Iso E Super,Modifier,Base,1,0.75,0.95,High
ACC-0119,Mossy Forest,Mossy,NOTE-0452,Oakmoss Absolute,Driver,Base,5,0.75,0.93,High
ACC-0119,Mossy Forest,Mossy,NOTE-0515,Patchouli Heart,Support,Base,4,0.7,0.91,High
ACC-0119,Mossy Forest,Mossy,NOTE-0453,Vetiver Haiti,Support,Base,3,0.65,0.9,High
ACC-0119,Mossy Forest,Mossy,NOTE-0477,Galbanum Resin,Modifier,Heart,2,0.55,0.86,Medium
ACC-0119,Mossy Forest,Mossy,NOTE-0205,Iso E Super,Modifier,Base,1,0.7,0.95,High
ACC-0119,Mossy Forest,Mossy,NOTE-0476,Habanolide,Modifier,Base,1,0.65,0.94,High
ACC-0120,Leather Smoke,Leather,NOTE-0471,Birch Tar Rectified,Driver,Base,5,0.65,0.86,High
ACC-0120,Leather Smoke,Leather,NOTE-0485,IsoButyl Quinoline,Support,Base,4,0.6,0.88,High
ACC-0120,Leather Smoke,Leather,NOTE-0516,Castoreum Replacer,Support,Base,3,0.55,0.85,High
ACC-0120,Leather Smoke,Leather,NOTE-0455,Labdanum Absolute,Modifier,Base,2,0.5,0.87,High
ACC-0120,Leather Smoke,Leather,NOTE-0087,Cashmeran,Modifier,Base,1,0.6,0.92,High
ACC-0120,Leather Smoke,Leather,NOTE-0476,Habanolide,Modifier,Base,1,0.65,0.94,High
ACC-0121,Milky Fig,Fruity Green,NOTE-0517,Fig Leaf Accord,Driver,Heart,5,0.7,0.9,Medium
ACC-0121,Milky Fig,Fruity Green,NOTE-0518,Coconut Lactone,Support,Heart,4,0.65,0.88,Medium
ACC-0121,Milky Fig,Fruity Green,NOTE-0169,Galbanum,Support,Top,3,0.55,0.85,Medium
ACC-0121,Milky Fig,Fruity Green,NOTE-0459,Cedarwood Virginia,Modifier,Base,2,0.6,0.89,High
ACC-0121,Milky Fig,Fruity Green,NOTE-0205,Iso E Super,Modifier,Base,1,0.65,0.95,High
ACC-0121,Milky Fig,Fruity Green,NOTE-0465,Musk Ketone,Modifier,Base,1,0.6,0.94,High
ACC-0122,Clean Laundry,Clean,NOTE-0474,Aldehyde C-11,Driver,Top,5,0.8,0.9,Low
ACC-0122,Clean Laundry,Clean,NOTE-0509,Linalool,Support,Heart,4,0.75,0.92,Medium
ACC-0122,Clean Laundry,Clean,NOTE-0193,Hedione,Support,Heart,3,0.8,0.95,Medium
ACC-0122,Clean Laundry,Clean,NOTE-0499,Lavender Oil,Modifier,Heart,2,0.7,0.9,Medium
ACC-0122,Clean Laundry,Clean,NOTE-0505,Galaxolide,Modifier,Base,1,0.85,0.97,High
ACC-0122,Clean Laundry,Clean,NOTE-0205,Iso E Super,Modifier,Base,1,0.75,0.96,High
ACC-0123,Sweet Tobacco,Tobacco,NOTE-0519,Tobacco Absolute,Driver,Base,5,0.7,0.9,High
ACC-0123,Sweet Tobacco,Tobacco,NOTE-0520,Honey Accord,Support,Base,4,0.65,0.88,Medium
ACC-0123,Sweet Tobacco,Tobacco,NOTE-0496,Tonka Bean Absolute,Support,Base,3,0.6,0.91,High
ACC-0123,Sweet Tobacco,Tobacco,NOTE-0456,Vanillin,Modifier,Base,2,0.55,0.92,Medium
ACC-0123,Sweet Tobacco,Tobacco,NOTE-0458,Patchouli Alcohol,Modifier,Base,1,0.5,0.88,High
ACC-0123,Sweet Tobacco,Tobacco,NOTE-0465,Musk Ketone,Modifier,Base,1,0.6,0.94,High
ACC-0124,Icy Mint,Fresh,NOTE-0521,Peppermint Oil,Driver,Top,5,0.75,0.85,Low
ACC-0124,Icy Mint,Fresh,NOTE-0522,Menthol Crystals,Support,Top,4,0.65,0.82,Low
ACC-0124,Icy Mint,Fresh,NOTE-0523,Eucalyptol,Support,Top,3,0.7,0.84,Low
ACC-0124,Icy Mint,Fresh,NOTE-0499,Lavender Oil,Modifier,Heart,2,0.6,0.88,Medium
ACC-0124,Icy Mint,Fresh,NOTE-0205,Iso E Super,Modifier,Base,1,0.65,0.95,High
ACC-0124,Icy Mint,Fresh,NOTE-0021,Ambroxan,Modifier,Base,1,0.6,0.94,High
ACC-0125,Honeyed Floral,Floral Sweet,NOTE-0493,Orange Blossom Absolute,Driver,Heart,5,0.75,0.92,Medium
ACC-0125,Honeyed Floral,Floral Sweet,NOTE-0520,Honey Accord,Support,Heart,4,0.65,0.9,Medium
