request_id,perfume_id,primary_accord,secondary_accord,primary_in_ref,any_in_ref,ref_accord_count
REQ-00085,P000395,ACC-0170,ACC-0135,False,False,4
REQ-00086,P000206,ACC-0139,ACC-0051,False,False,4
REQ-00088,P000414,ACC-0281,,False,False,4
REQ-00089,P000328,ACC-0161,,False,False,4
REQ-00092,P000225,ACC-0004,,True,True,5
REQ-00093,P000172,ACC-0170,,False,False,4
REQ-00094,P000305,ACC-0281,ACC-0121,False,False,4
REQ-00103,P000005,ACC-0213,,False,False,10
REQ-00105,P000422,ACC-0166,,False,False,4
REQ-00106,P000029,ACC-0134,,False,False,6
REQ-00108,P000110,ACC-0111,ACC-0022,False,False,10
REQ-00109,P000098,ACC-0161,,False,False,9
REQ-00112,P000081,ACC-0007,ACC-0107,False,False,6
REQ-00113,P000326,ACC-0207,,False,False,4
REQ-00116,P000239,ACC-0171,,False,False,5
REQ-00118,P000143,ACC-0167,,False,False,10
REQ-00120,P000152,ACC-0195,ACC-0202,False,False,9
REQ-00122,P000041,ACC-0130,ACC-0185,False,False,5
REQ-00123,P000089,ACC-0210,,False,False,10
REQ-00127,P000379,ACC-0148,ACC-0123,False,False,4
REQ-00129,P000375,ACC-0144,,False,False,4
REQ-00132,P000366,ACC-0143,,False,False,4
REQ-00133,P000431,ACC-0239,ACC-0055,False,False,4
REQ-00134,P000331,ACC-0249,ACC-0275,False,False,4
REQ-00135,P000014,ACC-0199,ACC-0244,False,False,10
REQ-00137,P000328,ACC-0177,,False,False,4
REQ-00138,P000442,ACC-0207,ACC-0039,False,False,4
REQ-00140,P000038,ACC-0215,,False,False,10
REQ-00142,P000114,ACC-0233,,False,False,10
REQ-00144,P000141,ACC-0187,,False,False,9
REQ-00147,P000283,ACC-0007,ACC-0183,False,False,5
REQ-00152,P000158,ACC-0156,,False,False,7
REQ-00153,P000121,ACC-0243,,False,False,10
REQ-00154,P000440,ACC-0195,,False,False,4
REQ-00155,P000362,ACC-0112,ACC-0034,False,False,4
REQ-00156,P000207,ACC-0127,,False,False,4
REQ-00157,P000309,ACC-0161,ACC-0075,False,False,4
REQ-00158,P000151,ACC-0199,,False,False,9
REQ-00159,P000131,ACC-0199,,False,False,7
REQ-00161,P000063,ACC-0193,,False,False,6
REQ-00166,P000446,ACC-0277,,False,False,4
REQ-00168,P000316,ACC-0007,,False,False,4
REQ-00169,P000129,ACC-0149,,False,False,4
REQ-00170,P000212,ACC-0252,,False,False,5
REQ-00173,P000177,ACC-0112,ACC-0147,False,False,5
REQ-00174,P000003,ACC-0204,,False,False,10
REQ-00175,P000066,ACC-0194,,False,False,10
REQ-00178,P000033,ACC-0116,ACC-0156,False,False,9
REQ-00179,P000157,ACC-0196,,False,False,10
REQ-00180,P000400,ACC-0283,,False,False,4
REQ-00181,P000443,ACC-0182,,False,False,4
REQ-00182,P000251,ACC-0178,ACC-0055,False,False,4
REQ-00184,P000184,ACC-0236,,False,False,4
REQ-00185,P000299,ACC-0170,,False,False,5
REQ-00186,P000168,ACC-0134,,False,False,10
REQ-00188,P000017,ACC-0118,ACC-0249,False,False,10
REQ-00190,P000265,ACC-0007,,False,False,4
REQ-00193,P000204,ACC-0207,,False,False,4
REQ-00194,P000231,ACC-0204,,False,False,5
REQ-00195,P000068,ACC-0246,,False,False,5
REQ-00199,P000301,ACC-0172,,False,False,5
REQ-00202,P000413,ACC-0111,ACC-0161,False,False,4
REQ-00203,P000369,ACC-0160,,False,False,4
REQ-00206,P000022,ACC-0253,ACC-0004,False,False,10
REQ-00208,P000403,ACC-0022,ACC-0144,False,False,4
REQ-00209,P000252,ACC-0102,,False,False,4
REQ-00211,P000184,ACC-0282,,False,False,4
REQ-00213,P000149,ACC-0290,,False,False,5
REQ-00214,P000109,ACC-0174,ACC-0066,False,True,10
REQ-00216,P000290,ACC-0146,,False,False,4
REQ-00218,P000312,ACC-0032,,False,False,5
REQ-00219,P000068,ACC-0004,ACC-0112,False,False,5
REQ-00221,P000206,ACC-0107,,False,False,4
REQ-00222,P000245,ACC-0145,,False,False,4
REQ-00225,P000200,ACC-0058,ACC-0285,False,False,4
REQ-00226,P000352,ACC-0112,,False,False,4
REQ-00227,P000355,ACC-0097,,False,False,4
REQ-00228,P000077,ACC-0289,ACC-0130,False,False,10
REQ-00230,P000437,ACC-0164,,False,False,4
REQ-00231,P000422,ACC-0189,,False,False,4
REQ-00232,P000092,ACC-0107,ACC-0112,False,False,10
REQ-00233,P000330,ACC-0157,ACC-0063,False,False,4
REQ-00234,P000297,ACC-0148,,False,False,5
REQ-00235,P000050,ACC-0111,,False,False,6
REQ-00236,P000067,ACC-0134,,False,False,8
REQ-00238,P000120,ACC-0165,,False,False,10
REQ-00241,P000039,ACC-0007,ACC-0254,False,False,10
REQ-00243,P000010,ACC-0148,ACC-0290,False,False,7
REQ-00244,P000354,ACC-0162,ACC-0114,False,False,4
REQ-00245,P000118,ACC-0287,,False,False,8
REQ-00250,P000267,ACC-0195,ACC-0131,False,False,5
REQ-00251,P000225,ACC-0258,,False,False,5
REQ-00255,P000199,ACC-0285,,False,False,4
REQ-00256,P000374,ACC-0288,,False,False,4
REQ-00258,P000449,ACC-0131,ACC-0196,False,False,4
REQ-00261,P000254,ACC-0236,ACC-0278,False,False,4
REQ-00262,P000286,ACC-0118,ACC-0165,False,False,4
REQ-00263,P000314,ACC-0132,,False,False,4
REQ-00264,P000171,ACC-0282,,False,False,5
REQ-00265,P000066,ACC-0118,ACC-0121,False,False,10
REQ-00267,P000326,ACC-0111,ACC-0258,False,False,4
REQ-00268,P000427,ACC-0283,,False,False,4
REQ-00272,P000194,ACC-0075,,False,False,6
REQ-00273,P000424,ACC-0116,,False,False,4
REQ-00275,P000308,ACC-0210,,False,False,4
REQ-00280,P000283,ACC-0109,,False,False,5
REQ-00282,P000082,ACC-0264,ACC-0106,False,False,10
REQ-00284,P000257,ACC-0206,,False,False,4
REQ-00285,P000259,ACC-0212,,False,False,4
REQ-00289,P000132,ACC-0250,,False,False,10
REQ-00296,P000395,ACC-0082,,False,False,4
REQ-00297,P000315,ACC-0133,ACC-0095,False,False,4
REQ-00298,P000237,ACC-0109,,False,False,5
REQ-00299,P000156,ACC-0134,ACC-0183,False,False,10
REQ-00301,P000019,ACC-0212,ACC-0100,False,False,5
REQ-00302,P000146,ACC-0190,,False,False,6
REQ-00304,P000357,ACC-0289,ACC-0250,False,False,4
REQ-00306,P000262,ACC-0213,,False,False,4
REQ-00310,P000365,ACC-0213,,False,False,4
REQ-00311,P000361,ACC-0121,,False,False,4
REQ-00312,P000380,ACC-0278,,False,False,4
REQ-00314,P000245,ACC-0279,ACC-0129,False,False,4
REQ-00319,P000265,ACC-0217,ACC-0080,False,False,4
REQ-00320,P000150,ACC-0125,,False,False,10
REQ-00321,P000273,ACC-0283,ACC-0277,False,False,4
REQ-00322,P000392,ACC-0167,ACC-0193,False,False,4
REQ-00324,P000371,ACC-0189,,False,False,4
REQ-00325,P000181,ACC-0222,,False,False,5
REQ-00326,P000326,ACC-0118,,False,False,4
REQ-00329,P000030,ACC-0131,,False,False,10
REQ-00331,P000392,ACC-0207,ACC-0107,False,False,4
REQ-00333,P000323,ACC-0171,,False,False,4
REQ-00335,P000157,ACC-0147,,False,False,10
REQ-00338,P000249,ACC-0140,ACC-0124,False,False,4
REQ-00339,P000340,ACC-0028,,False,False,4
REQ-00340,P000284,ACC-0150,ACC-0202,False,False,4
REQ-00342,P000294,ACC-0114,,False,False,5
REQ-00343,P000197,ACC-0125,ACC-0118,False,False,4
REQ-00344,P000084,ACC-0134,,False,False,10
REQ-00345,P000349,ACC-0206,ACC-0210,False,False,4
REQ-00346,P000055,ACC-0246,,False,False,10
REQ-00347,P000267,ACC-0123,,False,False,5
REQ-00349,P000314,ACC-0170,,False,False,4
REQ-00352,P000432,ACC-0148,,False,False,4
REQ-00353,P000055,ACC-0004,,False,False,10
REQ-00356,P000024,ACC-0174,ACC-0157,False,False,10
REQ-00357,P000316,ACC-0063,,False,False,4
REQ-00360,P000305,ACC-0166,ACC-0229,False,False,4
REQ-00363,P000375,ACC-0266,,False,False,4
REQ-00365,P000070,ACC-0109,ACC-0022,False,True,10
REQ-00366,P000309,ACC-0138,,False,False,4
REQ-00367,P000082,ACC-0031,,True,True,10
REQ-00372,P000048,ACC-0257,ACC-0066,False,False,5
REQ-00373,P000138,ACC-0118,,False,False,5
REQ-00374,P000092,ACC-0245,ACC-0170,False,False,10
REQ-00376,P000388,ACC-0050,,False,False,4
REQ-00377,P000395,ACC-0281,ACC-0107,False,False,4
REQ-00379,P000171,ACC-0039,,False,False,5
REQ-00380,P000311,ACC-0138,ACC-0077,False,False,5
REQ-00382,P000054,ACC-0207,ACC-0257,False,False,10
REQ-00385,P000005,ACC-0034,ACC-0177,False,False,10
REQ-00386,P000303,ACC-0222,ACC-0206,False,False,5
REQ-00387,P000384,ACC-0127,,False,False,4
REQ-00388,P000011,ACC-0107,,False,False,10
REQ-00389,P000168,ACC-0028,,False,False,10
REQ-00393,P000140,ACC-0193,ACC-0063,False,False,5
REQ-00396,P000018,ACC-0106,,False,False,5
REQ-00397,P000112,ACC-0122,,False,False,10
REQ-00399,P000158,ACC-0120,,False,False,7
REQ-00400,P000274,ACC-0118,,False,False,4
REQ-00401,P000020,ACC-0248,,False,False,5
REQ-00402,P000124,ACC-0170,ACC-0123,False,False,8
REQ-00404,P000361,ACC-0118,ACC-0145,False,False,4
REQ-00405,P000027,ACC-0183,ACC-0253,False,False,7
REQ-00407,P000109,ACC-0063,ACC-0145,False,False,10
REQ-00411,P000349,ACC-0171,,False,False,4
REQ-00412,P000170,ACC-0229,,False,False,6
REQ-00413,P000344,ACC-0216,ACC-0147,False,False,4
REQ-00414,P000276,ACC-0108,,False,False,4
REQ-00415,P000356,ACC-0285,,False,False,4
REQ-00418,P000110,ACC-0207,,False,False,10
REQ-00419,P000096,ACC-0170,,False,False,8
REQ-00420,P000244,ACC-0281,,False,False,5
REQ-00422,P000077,ACC-0007,ACC-0170,False,False,10
REQ-00423,P000041,ACC-0283,,False,False,5
REQ-00425,P000240,ACC-0277,,False,False,5
REQ-00426,P000021,ACC-0282,,False,False,10
REQ-00427,P000383,ACC-0251,ACC-0188,False,False,4
REQ-00428,P000349,ACC-0150,,False,False,4
REQ-00429,P000082,ACC-0002,ACC-0264,False,False,10
REQ-00431,P000282,ACC-0147,,False,False,4
REQ-00432,P000295,ACC-0171,,False,False,5
REQ-00433,P000027,ACC-0171,,False,False,7
REQ-00435,P000001,ACC-0299,,False,False,10
REQ-00436,P000286,ACC-0066,,False,False,4
REQ-00438,P000104,ACC-0007,,False,False,10
REQ-00440,P000132,ACC-0209,,False,False,10
REQ-00441,P000355,ACC-0294,ACC-0144,False,False,4
REQ-00442,P000200,ACC-0122,,False,False,4
REQ-00443,P000401,ACC-0124,,False,False,4
REQ-00445,P000198,ACC-0102,,False,False,4
REQ-00446,P000320,ACC-0170,,False,False,4
REQ-00447,P000204,ACC-0170,,False,False,4
REQ-00448,P000441,ACC-0285,ACC-0180,False,False,4
REQ-00449,P000019,ACC-0170,,False,False,5
REQ-00450,P000427,ACC-0263,ACC-0292,False,False,4
REQ-00452,P000253,ACC-0194,ACC-0004,False,False,4
REQ-00453,P000166,ACC-0107,ACC-0079,False,False,10
REQ-00454,P000190,ACC-0213,ACC-0232,False,False,5
REQ-00457,P000321,ACC-0185,,False,False,4
REQ-00460,P000087,ACC-0112,,False,False,7
REQ-00462,P000324,ACC-0199,,False,False,4
REQ-00463,P000127,ACC-0062,ACC-0181,False,False,10
REQ-00464,P000014,ACC-0267,ACC-0250,False,False,10
REQ-00465,P000189,ACC-0182,,False,False,6
REQ-00466,P000280,ACC-0107,,False,False,4
REQ-00467,P000134,ACC-0127,ACC-0214,False,False,5
REQ-00468,P000450,ACC-0175,,False,False,4
REQ-00472,P000034,ACC-0209,ACC-0127,False,False,10
REQ-00473,P000312,ACC-0118,ACC-0178,False,False,5
REQ-00474,P000297,ACC-0161,,False,False,5
REQ-00475,P000027,ACC-0162,ACC-0112,False,False,7
REQ-00476,P000442,ACC-0284,,False,False,4
REQ-00477,P000249,ACC-0248,,False,False,4
REQ-00479,P000030,ACC-0114,,False,False,10
REQ-00484,P000180,ACC-0247,,False,False,4
REQ-00485,P000171,ACC-0063,ACC-0120,False,False,5
REQ-00486,P000091,ACC-0172,,False,False,8
REQ-00488,P000269,ACC-0095,ACC-0170,False,False,4
REQ-00490,P000122,ACC-0112,ACC-0150,False,False,10
REQ-00491,P000357,ACC-0157,,False,False,4
REQ-00492,P000157,ACC-0130,,False,False,10
REQ-00493,P000027,ACC-0171,,False,False,7
REQ-00496,P000138,ACC-0128,,False,False,5
REQ-00498,P000102,ACC-0158,ACC-0007,False,False,10
REQ-00499,P000228,ACC-0132,,False,False,5
REQ-00500,P000253,ACC-0288,,False,False,4
REQ-00501,P000399,ACC-0107,,False,False,4
REQ-00502,P000382,ACC-0118,ACC-0170,False,False,4
REQ-00503,P000286,ACC-0213,,False,False,4
REQ-00504,P000418,ACC-0129,,False,False,4
REQ-00505,P000332,ACC-0248,,False,False,4
REQ-00506,P000015,ACC-0063,,False,False,10
REQ-00509,P000424,ACC-0172,ACC-0058,False,False,4
REQ-00511,P000097,ACC-0290,,False,False,6
REQ-00512,P000012,ACC-0140,ACC-0155,False,False,10
REQ-00513,P000422,ACC-0292,,False,False,4
REQ-00514,P000050,ACC-0123,,False,False,6
REQ-00515,P000310,ACC-0257,ACC-0200,False,False,4
REQ-00516,P000277,ACC-0195,,False,False,4
REQ-00518,P000152,ACC-0277,,False,False,9
REQ-00519,P000263,ACC-0032,,True,True,4
REQ-00522,P000121,ACC-0239,ACC-0120,False,False,10
REQ-00523,P000381,ACC-0134,,False,False,4
REQ-00525,P000302,ACC-0055,,False,False,4
REQ-00527,P000201,ACC-0109,ACC-0112,False,False,4
REQ-00528,P000423,ACC-0253,,False,False,4
REQ-00530,P000286,ACC-0090,,False,False,4
REQ-00531,P000141,ACC-0202,,False,False,9
REQ-00532,P000371,ACC-0129,,False,False,4
REQ-00533,P000208,ACC-0200,ACC-0138,False,False,4
REQ-00537,P000184,ACC-0111,ACC-0162,False,False,4
REQ-00538,P000233,ACC-0214,,False,False,5
REQ-00539,P000144,ACC-0114,ACC-0112,False,False,6
REQ-00540,P000421,ACC-0251,ACC-0111,False,False,4
REQ-00541,P000304,ACC-0196,ACC-0062,False,True,5
REQ-00545,P000326,ACC-0282,,False,False,4
REQ-00547,P000026,ACC-0275,ACC-0212,False,False,4
REQ-00548,P000279,ACC-0123,ACC-0175,False,False,4
REQ-00549,P000106,ACC-0004,ACC-0210,True,True,10
REQ-00551,P000227,ACC-0247,,False,False,5
REQ-00552,P000004,ACC-0145,,False,False,10
REQ-00554,P000146,ACC-0166,,False,False,6
REQ-00555,P000084,ACC-0111,ACC-0055,False,False,10
REQ-00557,P000304,ACC-0163,,False,False,5
REQ-00560,P000292,ACC-0263,ACC-0008,False,True,5
REQ-00561,P000250,ACC-0167,ACC-0165,False,False,4
REQ-00563,P000399,ACC-0167,ACC-0122,False,False,4
REQ-00564,P000217,ACC-0157,,False,False,5
REQ-00565,P000080,ACC-0165,,False,False,10
REQ-00567,P000221,ACC-0170,,False,False,5
REQ-00568,P000214,ACC-0139,,False,False,4
REQ-00571,P000074,ACC-0170,,False,False,8
REQ-00572,P000428,ACC-0039,,False,False,4
REQ-00575,P000161,ACC-0058,,False,False,8
REQ-00576,P000101,ACC-0170,,False,False,8
REQ-00577,P000183,ACC-0187,ACC-0233,False,False,4
REQ-00578,P000008,ACC-0184,ACC-0157,False,False,10
REQ-00579,P000193,ACC-0207,ACC-0174,False,False,4
REQ-00580,P000106,ACC-0256,ACC-0114,False,False,10
REQ-00581,P000083,ACC-0277,ACC-0121,False,False,7
REQ-00582,P000064,ACC-0102,,False,False,5
REQ-00585,P000376,ACC-0135,,False,False,4
REQ-00586,P000120,ACC-0050,ACC-0128,False,False,10
REQ-00593,P000142,ACC-0063,,False,False,10
REQ-00597,P000177,ACC-0121,,False,False,5
REQ-00598,P000440,ACC-0121,,False,False,4
REQ-00599,P000224,ACC-0022,,True,True,5
REQ-00600,P000420,ACC-0200,ACC-0250,False,False,4
REQ-00601,P000107,ACC-0164,ACC-0248,False,False,10
REQ-00602,P000235,ACC-0199,ACC-0129,False,False,4
REQ-00603,P000157,ACC-0133,ACC-0161,False,False,10
REQ-00604,P000301,ACC-0050,ACC-0248,False,False,5
REQ-00605,P000015,ACC-0187,,False,False,10
REQ-00606,P000299,ACC-0277,,False,False,5
REQ-00608,P000275,ACC-0005,,False,False,4
REQ-00609,P000368,ACC-0253,ACC-0141,False,False,4
REQ-00616,P000136,ACC-0032,,False,False,5
REQ-00617,P000151,ACC-0112,,False,False,9
REQ-00621,P000333,ACC-0194,,False,False,4
REQ-00624,P000277,ACC-0125,,False,False,4
REQ-00627,P000402,ACC-0114,,False,False,4
REQ-00628,P000391,ACC-0161,,False,False,4
REQ-00629,P000157,ACC-0193,ACC-0251,False,False,10
REQ-00630,P000362,ACC-0134,,False,False,4
REQ-00631,P000133,ACC-0170,ACC-0140,False,False,10
REQ-00632,P000194,ACC-0055,,False,False,6
REQ-00639,P000392,ACC-0145,,False,False,4
REQ-00642,P000051,ACC-0278,ACC-0080,False,False,9
REQ-00644,P000305,ACC-0170,,False,False,4
REQ-00645,P000271,ACC-0167,,False,False,4
REQ-00649,P000320,ACC-0289,ACC-0286,False,False,4
REQ-00652,P000354,ACC-0283,,False,False,4
REQ-00653,P000306,ACC-0287,,False,False,4
REQ-00654,P000123,ACC-0161,,False,False,5
REQ-00655,P000419,ACC-0004,ACC-0233,False,False,4
REQ-00656,P000100,ACC-0233,,False,False,8
REQ-00658,P000197,ACC-0112,,False,False,4
REQ-00659,P000341,ACC-0130,,False,False,4
REQ-00662,P000277,ACC-0158,,False,False,4
REQ-00663,P000122,ACC-0022,,True,True,10
REQ-00664,P000113,ACC-0170,,False,False,10
REQ-00667,P000433,ACC-0246,ACC-0283,False,False,4
REQ-00669,P000033,ACC-0007,,False,False,9
REQ-00670,P000190,ACC-0163,ACC-0171,False,False,5
REQ-00672,P000416,ACC-0232,,False,False,4
REQ-00675,P000015,ACC-0184,,False,False,10
REQ-00677,P000396,ACC-0280,ACC-0191,False,False,4
REQ-00685,P000291,ACC-0288,,False,False,5
REQ-00689,P000320,ACC-0209,,False,False,4
REQ-00690,P000228,ACC-0293,,False,False,5
REQ-00694,P000445,ACC-0170,ACC-0200,False,False,4
REQ-00700,P000127,ACC-0200,ACC-0104,False,False,10
REQ-00703,P000085,ACC-0068,ACC-0295,False,False,10
REQ-00704,P000075,ACC-0068,,False,False,5
REQ-00705,P000072,ACC-0102,,False,False,10
REQ-00707,P000122,ACC-0222,,False,False,10
REQ-00708,P000150,ACC-0293,,False,False,10
REQ-00710,P000086,ACC-0112,,False,False,10
REQ-00715,P000279,ACC-0194,,False,False,4
REQ-00719,P000129,ACC-0075,ACC-0039,False,False,4
REQ-00720,P000046,ACC-0128,,False,False,5
REQ-00726,P000001,ACC-0164,,False,False,10
REQ-00727,P000213,ACC-0206,ACC-0197,False,False,4
REQ-00728,P000295,ACC-0171,,False,False,5
REQ-00729,P000099,ACC-0281,,False,False,9
REQ-00730,P000094,ACC-0295,ACC-0102,False,False,9
REQ-00731,P000315,ACC-0114,,False,False,4
REQ-00732,P000172,ACC-0187,ACC-0077,False,False,4
REQ-00734,P000179,ACC-0063,ACC-0258,False,False,5
REQ-00736,P000288,ACC-0127,,False,False,4
REQ-00737,P000094,ACC-0112,ACC-0170,False,False,9
REQ-00738,P000399,ACC-0112,ACC-0287,False,False,4
REQ-00739,P000305,ACC-0158,,False,False,4
REQ-00740,P000410,ACC-0062,ACC-0075,False,True,4
REQ-00742,P000411,ACC-0246,ACC-0162,False,False,4
REQ-00743,P000183,ACC-0002,,False,False,4
REQ-00744,P000296,ACC-0227,,False,False,5
REQ-00747,P000190,ACC-0174,,False,False,5
REQ-00748,P000231,ACC-0130,,False,False,5
REQ-00752,P000447,ACC-0276,ACC-0102,False,False,4
REQ-00753,P000385,ACC-0172,ACC-0063,False,False,4
REQ-00755,P000073,ACC-0233,,False,False,4
REQ-00759,P000428,ACC-0125,,False,False,4
REQ-00760,P000171,ACC-0111,ACC-0293,False,False,5
REQ-00765,P000062,ACC-0187,,False,False,10
REQ-00768,P000207,ACC-0184,ACC-0144,False,False,4
REQ-00769,P000397,ACC-0007,ACC-0227,False,False,4
REQ-00770,P000306,ACC-0233,ACC-0032,False,False,4
REQ-00771,P000079,ACC-0112,ACC-0033,False,False,10
REQ-00772,P000319,ACC-0288,ACC-0034,False,False,4
REQ-00773,P000208,ACC-0287,,False,False,4
REQ-00775,P000070,ACC-0190,,False,False,10
REQ-00776,P000072,ACC-0111,ACC-0170,False,False,10
REQ-00777,P000217,ACC-0257,ACC-0132,False,False,5
REQ-00778,P000264,ACC-0107,,False,False,4
REQ-00780,P000330,ACC-0158,ACC-0212,False,False,4
REQ-00781,P000004,ACC-0112,ACC-0151,False,False,10
REQ-00782,P000130,ACC-0004,,False,False,6
REQ-00785,P000431,ACC-0275,,False,False,4
REQ-00786,P000212,ACC-0149,,False,False,5
REQ-00788,P000235,ACC-0128,,False,False,4
REQ-00795,P000335,ACC-0120,ACC-0283,False,False,4
REQ-00796,P000445,ACC-0283,ACC-0227,False,False,4
REQ-00797,P000366,ACC-0254,ACC-0008,False,False,4
REQ-00798,P000347,ACC-0295,,False,False,4
REQ-00799,P000283,ACC-0112,,False,False,5
REQ-00801,P000195,ACC-0097,ACC-0295,False,False,4
REQ-00802,P000157,ACC-0149,ACC-0130,False,False,10
REQ-00803,P000051,ACC-0118,ACC-0068,False,False,9
REQ-00805,P000355,ACC-0121,ACC-0043,False,False,4
REQ-00806,P000413,ACC-0122,ACC-0039,False,False,4
REQ-00807,P000129,ACC-0284,,False,False,4
REQ-00808,P000063,ACC-0079,ACC-0170,False,False,6
REQ-00809,P000266,ACC-0299,,False,False,4
REQ-00810,P000358,ACC-0164,ACC-0157,False,False,4
REQ-00812,P000357,ACC-0209,,False,False,4
REQ-00816,P000119,ACC-0206,,False,False,5
REQ-00817,P000076,ACC-0130,,False,False,10
REQ-00818,P000349,ACC-0164,,False,False,4
REQ-00819,P000171,ACC-0254,,False,False,5
REQ-00823,P000278,ACC-0236,,False,False,4
REQ-00827,P000308,ACC-0292,,False,False,4
REQ-00828,P000428,ACC-0247,ACC-0195,False,False,4
REQ-00829,P000179,ACC-0252,,False,False,5
REQ-00830,P000243,ACC-0132,,False,False,5
REQ-00832,P000099,ACC-0181,ACC-0167,False,False,9
REQ-00834,P000405,ACC-0216,,False,False,4
REQ-00835,P000182,ACC-0023,,False,False,5
REQ-00838,P000100,ACC-0227,,False,False,8
REQ-00839,P000160,ACC-0287,,False,False,10
REQ-00842,P000034,ACC-0134,,False,False,10
REQ-00843,P000145,ACC-0105,,False,False,5
REQ-00845,P000428,ACC-0112,,False,False,4
REQ-00847,P000216,ACC-0161,,False,False,4
REQ-00849,P000060,ACC-0181,ACC-0213,False,False,10
REQ-00851,P000168,ACC-0130,,False,False,10
REQ-00852,P000375,ACC-0066,ACC-0197,False,False,4
REQ-00856,P000001,ACC-0287,,False,False,10
REQ-00857,P000337,ACC-0222,,False,False,4
REQ-00860,P000142,ACC-0104,,False,False,10
REQ-00862,P000328,ACC-0165,,False,False,4
REQ-00865,P000158,ACC-0122,ACC-0004,False,False,7
REQ-00869,P000127,ACC-0095,ACC-0308,True,True,10
REQ-00873,P000109,ACC-0168,ACC-0250,False,False,10
REQ-00876,P000036,ACC-0142,ACC-0155,False,False,7
REQ-00878,P000332,ACC-0134,,False,False,4
REQ-00880,P000425,ACC-0280,,False,False,4
REQ-00882,P000237,ACC-0132,,False,False,5
REQ-00884,P000110,ACC-0291,,False,False,10
REQ-00887,P000337,ACC-0281,ACC-0096,False,False,4
REQ-00890,P000069,ACC-0277,,False,False,10
REQ-00892,P000376,ACC-0112,,False,False,4
REQ-00893,P000398,ACC-0118,,False,False,4
REQ-00894,P000405,ACC-0109,ACC-0206,False,False,4
REQ-00895,P000339,ACC-0118,ACC-0286,False,False,4
REQ-00899,P000071,ACC-0134,,False,False,7
REQ-00904,P000053,ACC-0031,ACC-0280,True,True,5
REQ-00905,P000086,ACC-0007,,False,False,10
REQ-00909,P000282,ACC-0063,,False,False,4
REQ-00912,P000136,ACC-0131,ACC-0133,False,False,5
REQ-00913,P000189,ACC-0068,ACC-0138,False,False,6
REQ-00915,P000077,ACC-0247,,False,False,10
REQ-00916,P000047,ACC-0190,,False,False,10
REQ-00919,P000140,ACC-0022,,True,True,5
REQ-00921,P000324,ACC-0289,,False,False,4
REQ-00922,P000033,ACC-0228,ACC-0167,False,False,9
REQ-00923,P000430,ACC-0095,,True,True,4
REQ-00927,P000335,ACC-0229,,False,False,4
REQ-00928,P000359,ACC-0206,ACC-0248,False,False,4
REQ-00929,P000312,ACC-0193,ACC-0174,False,False,5
REQ-00931,P000020,ACC-0181,,False,False,5
REQ-00932,P000229,ACC-0292,ACC-0112,False,False,4
REQ-00933,P000432,ACC-0194,ACC-0127,False,False,4
REQ-00934,P000132,ACC-0229,ACC-0109,False,False,10
