accord_id,base,heart,top
ACC-0176,40.001,60.0,0.0
ACC-0177,54.545,0.0,45.455
ACC-0178,100.001,0.0,0.0
ACC-0179,100.0,0.0,0.0
ACC-0180,100.0,0.0,0.0
ACC-0181,100.001,0.0,0.0
ACC-0182,100.0,0.0,0.0
ACC-0183,100.001,0.0,0.0
ACC-0184,100.0,0.0,0.0
ACC-0185,100.0,0.0,0.0
ACC-0186,100.0,0.0,0.0
ACC-0187,99.999,0.0,0.0
ACC-0188,40.0,60.0,0.0
ACC-0189,100.0,0.0,0.0
ACC-0190,100.001,0.0,0.0
ACC-0191,100.0,0.0,0.0
ACC-0192,40.0,60.001000000000005,0.0
ACC-0193,40.0,60.0,0.0
ACC-0194,99.999,0.0,0.0
ACC-0195,99.99900000000001,0.0,0.0
ACC-0196,100.0,0.0,0.0
ACC-0197,40.0,60.0,0.0
ACC-0198,100.0,0.0,0.0
ACC-0199,100.0,0.0,0.0
ACC-0200,30.001,45.0,25.0
ACC-0201,30.0,45.0,25.0
ACC-0202,99.999,0.0,0.0
ACC-0203,100.0,0.0,0.0
ACC-0204,40.001,60.0,0.0
ACC-0205,100.001,0.0,0.0
ACC-0206,54.545,0.0,45.455
ACC-0207,40.0,60.0,0.0
ACC-0208,40.0,60.0,0.0
ACC-0209,54.545,0.0,45.455
ACC-0210,54.546,0.0,45.455
ACC-0211,39.999,60.0,0.0
ACC-0212,100.0,0.0,0.0
ACC-0213,99.99900000000001,0.0,0.0
ACC-0214,100.001,0.0,0.0
ACC-0215,100.0,0.0,0.0
ACC-0216,40.001,60.0,0.0
ACC-0217,100.0,0.0,0.0
ACC-0218,40.001,60.001000000000005,0.0
ACC-0219,99.999,0.0,0.0
ACC-0220,99.999,0.0,0.0
ACC-0221,99.999,0.0,0.0
ACC-0222,30.001,45.0,25.0
ACC-0223,40.0,60.0,0.0
ACC-0224,40.001000000000005,60.0,0.0
ACC-0225,40.001,60.0,0.0
ACC-0226,40.001,60.0,0.0
ACC-0227,40.0,60.0,0.0
ACC-0228,40.0,60.0,0.0
ACC-0229,40.0,60.0,0.0
ACC-0230,40.0,60.0,0.0
ACC-0231,39.998,60.0,0.0
ACC-0232,40.002,60.0,0.0
ACC-0233,40.0,60.0,0.0
ACC-0234,0.0,0.0,100.0
ACC-0235,40.0,60.0,0.0
ACC-0236,30.0,45.0,25.0
ACC-0237,40.0,60.0,0.0
ACC-0238,40.0,60.0,0.0
ACC-0239,54.54599999999999,0.0,45.454
ACC-0240,30.0,45.0,25.0
ACC-0241,54.54599999999999,0.0,45.455
ACC-0242,40.0,60.0,0.0
ACC-0243,39.999,60.0,0.0
ACC-0244,39.999,60.0,0.0
ACC-0245,40.0,60.0,0.0
ACC-0246,39.999,60.0,0.0
ACC-0247,100.0,0.0,0.0
ACC-0248,100.002,0.0,0.0
ACC-0249,99.999,0.0,0.0
ACC-0250,40.001,60.0,0.0
ACC-0251,100.0,0.0,0.0
ACC-0252,40.0,60.0,0.0
ACC-0253,40.0,60.001,0.0
ACC-0254,99.999,0.0,0.0
ACC-0255,40.0,60.0,0.0
ACC-0256,99.999,0.0,0.0
ACC-0257,40.0,60.0,0.0
ACC-0258,30.0,45.001,25.0
ACC-0259,40.0,59.998999999999995,0.0
ACC-0260,29.999,45.0,25.0
ACC-0261,29.999000000000002,45.0,25.0
ACC-0262,54.545,0.0,45.455
ACC-0263,29.999000000000002,45.0,25.0
ACC-0264,40.0,60.0,0.0
ACC-0265,40.001000000000005,60.0,0.0
ACC-0266,100.0,0.0,0.0
ACC-0267,40.001000000000005,60.0,0.0
ACC-0268,39.998999999999995,60.0,0.0
ACC-0269,40.0,60.0,0.0
ACC-0270,100.0,0.0,0.0
ACC-0271,40.0,60.0,0.0
ACC-0272,39.999,60.0,0.0
ACC-0273,39.999,60.0,0.0
ACC-0274,39.999,60.0,0.0
ACC-0275,99.999,0.0,0.0
ACC-0276,100.001,0.0,0.0
ACC-0277,40.0,60.0,0.0
ACC-0278,99.999,0.0,0.0
ACC-0279,30.0,45.0,25.0
ACC-0280,40.0,60.0,0.0
ACC-0281,100.0,0.0,0.0
ACC-0282,54.545,0.0,45.455
ACC-0283,54.546,0.0,45.455
ACC-0284,30.0,45.0,25.0
ACC-0285,40.0,60.0,0.0
ACC-0286,54.546,0.0,45.455
ACC-0287,54.545,0.0,45.455
ACC-0288,30.0,45.0,25.0
ACC-0289,30.0,45.0,25.0
ACC-0290,30.0,45.0,25.0
ACC-0291,40.0,60.0,0.0
ACC-0292,30.0,45.0,25.0
ACC-0293,54.545,0.0,45.455
ACC-0294,30.0,45.0,25.0
ACC-0295,40.001,60.0,0.0
ACC-0296,100.001,0.0,0.0
ACC-0297,100.0,0.0,0.0
ACC-0298,40.0,60.0,0.0
ACC-0299,40.0,59.999,0.0
