request_id,phrase,canonical_descriptor
REQ-00118,smoky,smoky
REQ-00120,leather,leather
REQ-00120,coffee,gourmand
REQ-00123,vanilla,gourmand
REQ-00125,powdery,powdery
REQ-00126,clean,clean
REQ-00130,clean,clean
REQ-00130,ozone,ozonic
REQ-00131,powdery,powdery
REQ-00132,leather,leather
REQ-00134,smoky,smoky
REQ-00135,clean,clean
REQ-00136,fresh,fresh
REQ-00136,clean,clean
REQ-00139,smoky,smoky
REQ-00141,citrus,citrus
REQ-00143,spicy,spicy
REQ-00144,sweet,sweet
REQ-00145,leather,leather
REQ-00146,fresh,fresh
REQ-00146,fresh cut grass,green
REQ-00149,sweet,sweet
REQ-00150,woody,woody
REQ-00151,smoke,smoky
REQ-00151,fireplace,smoky
REQ-00152,musk,musky
REQ-00156,leather,leather
REQ-00157,amber,amber
REQ-00160,citrus,citrus
REQ-00161,leather,leather
REQ-00161,powdery,powdery
REQ-00164,citrus,citrus
REQ-00164,musk,musky
REQ-00165,dark,dark
REQ-00165,ozonic,ozonic
REQ-00165,powdery,powdery
REQ-00166,leather,leather
REQ-00167,citrus,citrus
REQ-00169,green,green
REQ-00169,musk,musky
REQ-00170,green,green
REQ-00172,musk,musky
REQ-00174,smoky,smoky
REQ-00174,wet stone,mineral
REQ-00177,clean,clean
REQ-00178,floral,floral
REQ-00179,mineral,mineral
REQ-00182,ozone,ozonic
REQ-00185,smoky,smoky
REQ-00186,clean,clean
REQ-00186,hotel lobby,clean
REQ-00186,smoky,smoky
REQ-00186,spicy,spicy
REQ-00187,vanilla,gourmand
REQ-00190,powdery,powdery
REQ-00191,smoky,smoky
REQ-00191,vanilla,gourmand
REQ-00193,aquatic,aquatic
REQ-00193,ozonic,ozonic
REQ-00197,fresh,fresh
REQ-00197,freshly washed,clean
REQ-00199,leather,leather
REQ-00200,musk,musky
REQ-00200,sweet,sweet
REQ-00201,smoky,smoky
REQ-00206,citrus,citrus
REQ-00207,citrus,citrus
REQ-00208,green,green
REQ-00211,clean,clean
REQ-00211,hotel lobby,clean
REQ-00212,clean,clean
REQ-00213,dark,dark
REQ-00214,citrus,citrus
REQ-00214,sweet,sweet
REQ-00215,powdery,powdery
REQ-00216,clean,clean
REQ-00216,powdery,powdery
REQ-00220,smoky,smoky
REQ-00221,fresh,fresh
REQ-00221,freshly washed,clean
REQ-00221,smoky,smoky
REQ-00221,musk,musky
REQ-00223,leather,leather
REQ-00223,powdery,powdery
REQ-00225,vanilla,gourmand
REQ-00226,sweet,sweet
REQ-00227,smoky,smoky
REQ-00227,smoke,smoky
REQ-00227,fireplace,smoky
REQ-00230,sweet,sweet
REQ-00231,leather,leather
REQ-00231,coffee,gourmand
REQ-00232,musky,musky
REQ-00232,musk,musky
REQ-00234,clean,clean
REQ-00234,leather,leather
REQ-00234,coffee,gourmand
REQ-00235,sweet,sweet
REQ-00236,clean,clean
REQ-00236,green,green
REQ-00236,leather,leather
REQ-00237,musk,musky
REQ-00239,citrus,citrus
REQ-00241,citrus,citrus
REQ-00241,ozonic,ozonic
REQ-00242,powdery,powdery
REQ-00243,musk,musky
REQ-00243,sweet,sweet
REQ-00249,woody,woody
REQ-00250,clean,clean
REQ-00250,ozone,ozonic
REQ-00253,smoky,smoky
REQ-00253,ozone,ozonic
REQ-00254,musk,musky
REQ-00255,leather,leather
REQ-00255,vanilla,gourmand
REQ-00258,fresh,fresh
REQ-00260,floral,floral
REQ-00261,powdery,powdery
REQ-00262,clean,clean
REQ-00262,hotel lobby,clean
REQ-00263,sweet,sweet
REQ-00263,vanilla,gourmand
REQ-00266,clean,clean
REQ-00266,musk,musky
REQ-00267,smoky,smoky
REQ-00267,ozone,ozonic
REQ-00268,smoky,smoky
REQ-00269,smoky,smoky
REQ-00270,fresh,fresh
REQ-00270,smoky,smoky
REQ-00272,wet stone,mineral
REQ-00278,powdery,powdery
REQ-00279,fresh,fresh
REQ-00279,clean,clean
REQ-00279,hotel lobby,clean
REQ-00280,clean,clean
REQ-00282,smoky,smoky
REQ-00282,musk,musky
REQ-00283,vanilla,gourmand
REQ-00285,sweet,sweet
REQ-00286,clean,clean
REQ-00286,hotel lobby,clean
REQ-00290,leather,leather
REQ-00291,vanilla,gourmand
REQ-00292,citrus,citrus
REQ-00292,sweet,sweet
REQ-00294,fresh,fresh
REQ-00294,fresh cut grass,green
REQ-00296,smoky,smoky
REQ-00296,floral,floral
REQ-00296,vanilla,gourmand
REQ-00298,clean,clean
REQ-00298,spicy,spicy
REQ-00299,smoky,smoky
REQ-00299,mineral,mineral
REQ-00299,barbershop,fougere
REQ-00301,musk,musky
REQ-00303,leather,leather
REQ-00306,clean,clean
REQ-00306,green,green
REQ-00307,sweet,sweet
REQ-00309,clean,clean
REQ-00309,musk,musky
REQ-00311,citrus,citrus
REQ-00313,fresh,fresh
REQ-00315,leather,leather
REQ-00317,smoky,smoky
REQ-00318,fresh,fresh
REQ-00319,powdery,powdery
REQ-00320,barbershop,fougere
REQ-00322,musk,musky
REQ-00323,amber,amber
REQ-00324,vanilla,gourmand
REQ-00325,vanilla,gourmand
REQ-00326,fresh,fresh
REQ-00326,citrus,citrus
REQ-00326,fresh cut grass,green
REQ-00327,powdery,powdery
REQ-00330,vanilla,gourmand
REQ-00333,leather,leather
REQ-00334,smoke,smoky
REQ-00334,fireplace,smoky
REQ-00334,powdery,powdery
REQ-00336,citrus,citrus
REQ-00336,sweet,sweet
REQ-00337,smoky,smoky
REQ-00339,green,green
REQ-00339,leather,leather
REQ-00342,leather,leather
REQ-00342,vanilla,gourmand
REQ-00343,powdery,powdery
REQ-00347,dark,dark
REQ-00350,musk,musky
REQ-00350,ozone,ozonic
REQ-00351,smoky,smoky
REQ-00355,clean,clean
REQ-00355,smoke,smoky
REQ-00355,fireplace,smoky
REQ-00355,vanilla,gourmand
REQ-00356,musk,musky
REQ-00358,musk,musky
REQ-00359,musky,musky
REQ-00359,musk,musky
REQ-00360,smoky,smoky
REQ-00363,floral,floral
REQ-00363,ozone,ozonic
REQ-00366,powdery,powdery
REQ-00368,amber,amber
REQ-00368,leather,leather
REQ-00369,barbershop,fougere
REQ-00370,musky,musky
REQ-00370,musk,musky
REQ-00373,green,green
REQ-00373,powdery,powdery
REQ-00374,leather,leather
REQ-00374,vanilla,gourmand
REQ-00374,coffee,gourmand
REQ-00375,leather,leather
REQ-00376,sweet,sweet
REQ-00377,citrus,citrus
REQ-00379,musk,musky
REQ-00379,ozone,ozonic
REQ-00380,powdery,powdery
REQ-00382,fresh,fresh
REQ-00382,fresh cut grass,green
REQ-00382,musky,musky
REQ-00382,musk,musky
REQ-00382,leather,leather
REQ-00386,dark,dark
REQ-00390,fresh,fresh
REQ-00390,freshly washed,clean
REQ-00391,smoke,smoky
REQ-00391,fireplace,smoky
REQ-00391,musk,musky
REQ-00392,forest,woody
REQ-00392,after rain,ozonic
REQ-00393,musk,musky
REQ-00394,citrus,citrus
REQ-00395,smoke,smoky
REQ-00395,fireplace,smoky
REQ-00397,sweet,sweet
REQ-00398,musk,musky
REQ-00400,powdery,powdery
REQ-00402,vanilla,gourmand
REQ-00403,leather,leather
REQ-00406,powdery,powdery
REQ-00408,smoky,smoky
REQ-00409,musk,musky
REQ-00409,mineral,mineral
REQ-00410,vanilla,gourmand
REQ-00411,woody,woody
REQ-00413,leather,leather
REQ-00414,powdery,powdery
REQ-00415,clean,clean
REQ-00415,hotel lobby,clean
REQ-00415,powdery,powdery
REQ-00418,wet stone,mineral
REQ-00418,powdery,powdery
REQ-00422,leather,leather
REQ-00422,coffee,gourmand
REQ-00423,amber,amber
REQ-00423,smoky,smoky
REQ-00423,powdery,powdery
REQ-00424,powdery,powdery
REQ-00424,sweet,sweet
REQ-00425,smoke,smoky
REQ-00425,fireplace,smoky
REQ-00426,citrus,citrus
REQ-00427,musk,musky
REQ-00432,floral,floral
REQ-00433,vanilla,gourmand
REQ-00434,smoky,smoky
REQ-00434,citrus,citrus
REQ-00436,fresh,fresh
REQ-00436,fresh cut grass,green
REQ-00438,clean,clean
REQ-00443,clean,clean
REQ-00444,sweet,sweet
REQ-00445,musky,musky
REQ-00445,musk,musky
REQ-00446,smoke,smoky
REQ-00446,fireplace,smoky
REQ-00446,citrus,citrus
REQ-00447,wet stone,mineral
REQ-00449,sweet,sweet
REQ-00450,sweet,sweet
REQ-00452,sweet,sweet
REQ-00452,vanilla,gourmand
REQ-00453,smoke,smoky
REQ-00453,fireplace,smoky
REQ-00453,citrus,citrus
REQ-00454,smoky,smoky
REQ-00455,ozonic,ozonic
REQ-00455,leather,leather
REQ-00456,wet stone,mineral
REQ-00458,smoky,smoky
REQ-00458,powdery,powdery
REQ-00458,barbershop,fougere
REQ-00459,smoke,smoky
REQ-00459,fireplace,smoky
REQ-00460,clean,clean
REQ-00461,powdery,powdery
REQ-00462,floral,floral
REQ-00464,vanilla,gourmand
REQ-00467,leather,leather
REQ-00467,coffee,gourmand
REQ-00468,vanilla,gourmand
REQ-00469,citrus,citrus
REQ-00469,vanilla,gourmand
REQ-00470,powdery,powdery
REQ-00471,powdery,powdery
REQ-00472,citrus,citrus
REQ-00473,clean,clean
REQ-00473,hotel lobby,clean
REQ-00473,smoky,smoky
REQ-00475,leather,leather
REQ-00476,wet stone,mineral
REQ-00479,citrus,citrus
REQ-00481,sweet,sweet
REQ-00483,powdery,powdery
REQ-00484,vanilla,gourmand
REQ-00486,leather,leather
REQ-00487,aquatic,aquatic
REQ-00487,vanilla,gourmand
REQ-00489,sweet,sweet
REQ-00491,after rain,ozonic
REQ-00492,leather,leather
REQ-00493,clean,clean
REQ-00494,clean,clean
REQ-00494,hotel lobby,clean
REQ-00494,smoky,smoky
REQ-00496,clean,clean
REQ-00499,leather,leather
REQ-00499,sweet,sweet
REQ-00500,powdery,powdery
REQ-00501,musk,musky
REQ-00503,citrus,citrus
REQ-00503,powdery,powdery
REQ-00504,musk,musky
REQ-00504,powdery,powdery
REQ-00505,leather,leather
REQ-00506,leather,leather
REQ-00507,ozonic,ozonic
REQ-00507,vanilla,gourmand
REQ-00508,smoky,smoky
REQ-00508,musky,musky
REQ-00508,musk,musky
REQ-00510,citrus,citrus
REQ-00513,spicy,spicy
REQ-00515,musky,musky
REQ-00515,musk,musky
REQ-00515,leather,leather
REQ-00516,leather,leather
REQ-00517,mineral,mineral
REQ-00518,dark,dark
REQ-00519,ozone,ozonic
REQ-00520,citrus,citrus
REQ-00521,smoky,smoky
REQ-00521,powdery,powdery
REQ-00524,citrus,citrus
REQ-00528,barbershop,fougere
REQ-00529,musk,musky
REQ-00530,fresh,fresh
REQ-00530,powdery,powdery
REQ-00531,sweet,sweet
REQ-00534,powdery,powdery
REQ-00535,clean,clean
REQ-00535,sweet,sweet
REQ-00536,smoky,smoky
REQ-00537,sweet,sweet
REQ-00538,mineral,mineral
REQ-00540,vanilla,gourmand
REQ-00541,leather,leather
REQ-00542,clean,clean
REQ-00544,musk,musky
REQ-00545,smoky,smoky
REQ-00548,powdery,powdery
REQ-00549,woody,woody
REQ-00550,citrus,citrus
REQ-00550,musk,musky
REQ-00553,smoky,smoky
REQ-00554,leather,leather
REQ-00554,coffee,gourmand
REQ-00555,leather,leather
REQ-00555,coffee,gourmand
REQ-00556,smoky,smoky
REQ-00557,fresh,fresh
REQ-00557,smoky,smoky
REQ-00557,fresh cut grass,green
REQ-00558,smoky,smoky
REQ-00559,sweet,sweet
REQ-00564,clean,clean
REQ-00564,hotel lobby,clean
REQ-00565,dark,dark
REQ-00566,ozone,ozonic
REQ-00566,vanilla,gourmand
REQ-00567,smoky,smoky
REQ-00568,smoky,smoky
REQ-00570,musky,musky
REQ-00570,musk,musky
REQ-00570,leather,leather
REQ-00573,powdery,powdery
REQ-00575,citrus,citrus
REQ-00576,leather,leather
REQ-00577,musk,musky
REQ-00578,clean,clean
REQ-00579,musky,musky
REQ-00579,musk,musky
REQ-00580,floral,floral
REQ-00583,vanilla,gourmand
REQ-00584,aquatic,aquatic
REQ-00588,smoky,smoky
REQ-00589,clean,clean
REQ-00590,clean,clean
REQ-00593,powdery,powdery
REQ-00595,amber,amber
REQ-00595,sweet,sweet
REQ-00599,mineral,mineral
REQ-00600,smoke,smoky
REQ-00600,fireplace,smoky
REQ-00601,citrus,citrus
REQ-00602,powdery,powdery
REQ-00603,powdery,powdery
REQ-00606,smoky,smoky
REQ-00607,vanilla,gourmand
REQ-00609,coffee,gourmand
REQ-00610,musk,musky
REQ-00610,wet stone,mineral
REQ-00611,leather,leather
REQ-00612,smoky,smoky
REQ-00613,fresh,fresh
REQ-00615,woody,woody
REQ-00616,powdery,powdery
REQ-00617,fresh,fresh
REQ-00619,citrus,citrus
REQ-00621,leather,leather
REQ-00622,sweet,sweet
REQ-00623,clean,clean
REQ-00623,hotel lobby,clean
REQ-00625,amber,amber
REQ-00625,musk,musky
REQ-00627,leather,leather
REQ-00627,coffee,gourmand
REQ-00629,musk,musky
REQ-00630,sweet,sweet
REQ-00631,smoky,smoky
REQ-00634,musk,musky
REQ-00637,ozone,ozonic
REQ-00641,fresh,fresh
REQ-00642,clean,clean
REQ-00642,vanilla,gourmand
REQ-00644,leather,leather
REQ-00644,sweet,sweet
REQ-00645,leather,leather
REQ-00645,coffee,gourmand
REQ-00646,citrus,citrus
REQ-00647,forest,woody
REQ-00647,leather,leather
REQ-00651,freshly washed,clean
REQ-00653,green,green
REQ-00654,smoke,smoky
REQ-00654,fireplace,smoky
REQ-00654,vanilla,gourmand
REQ-00657,citrus,citrus
REQ-00658,floral,floral
REQ-00658,leather,leather
REQ-00659,dark,dark
REQ-00659,vanilla,gourmand
REQ-00661,floral,floral
REQ-00663,smoky,smoky
REQ-00663,mineral,mineral
REQ-00664,ozone,ozonic
REQ-00665,freshly washed,clean
REQ-00666,musk,musky
REQ-00667,clean,clean
REQ-00667,ozonic,ozonic
REQ-00668,leather,leather
REQ-00668,vanilla,gourmand
REQ-00668,coffee,gourmand
REQ-00670,amber,amber
REQ-00672,ozonic,ozonic
REQ-00673,clean,clean
REQ-00675,amber,amber
REQ-00675,vanilla,gourmand
REQ-00676,musk,musky
REQ-00680,dark,dark
REQ-00681,spicy,spicy
REQ-00683,vanilla,gourmand
REQ-00687,ozonic,ozonic
REQ-00689,musk,musky
REQ-00692,leather,leather
REQ-00693,spicy,spicy
REQ-00694,clean,clean
REQ-00695,clean,clean
REQ-00696,smoky,smoky
REQ-00698,amber,amber
REQ-00698,sweet,sweet
REQ-00699,leather,leather
REQ-00699,coffee,gourmand
REQ-00702,clean,clean
REQ-00702,powdery,powdery
REQ-00703,vanilla,gourmand
REQ-00704,clean,clean
REQ-00704,musky,musky
REQ-00704,musk,musky
REQ-00705,powdery,powdery
REQ-00706,smoky,smoky
REQ-00708,fresh,fresh
REQ-00708,freshly washed,clean
REQ-00709,forest,woody
REQ-00709,after rain,ozonic
REQ-00710,smoke,smoky
REQ-00710,fireplace,smoky
REQ-00711,clean,clean
REQ-00711,smoky,smoky
REQ-00713,leather,leather
REQ-00713,powdery,powdery
REQ-00713,sweet,sweet
REQ-00714,sweet,sweet
REQ-00715,clean,clean
REQ-00717,green,green
REQ-00720,clean,clean
REQ-00720,hotel lobby,clean
REQ-00720,vanilla,gourmand
REQ-00721,fresh,fresh
REQ-00722,fresh,fresh
REQ-00722,fresh cut grass,green
REQ-00723,spicy,spicy
REQ-00725,clean,clean
REQ-00725,aquatic,aquatic
REQ-00726,woody,woody
REQ-00726,vanilla,gourmand
REQ-00728,musk,musky
REQ-00729,powdery,powdery
REQ-00734,citrus,citrus
REQ-00736,wet stone,mineral
REQ-00736,leather,leather
REQ-00737,clean,clean
REQ-00737,hotel lobby,clean
REQ-00738,smoky,smoky
REQ-00739,musk,musky
REQ-00740,smoke,smoky
REQ-00740,fireplace,smoky
REQ-00740,ozonic,ozonic
REQ-00742,vanilla,gourmand
REQ-00743,smoke,smoky
REQ-00743,fireplace,smoky
REQ-00743,sweet,sweet
REQ-00744,clean,clean
REQ-00745,leather,leather
REQ-00749,sweet,sweet
REQ-00750,leather,leather
REQ-00751,mineral,mineral
REQ-00752,musk,musky
REQ-00753,smoky,smoky
REQ-00755,fresh,fresh
REQ-00755,freshly washed,clean
REQ-00758,vanilla,gourmand
REQ-00759,clean,clean
REQ-00760,vanilla,gourmand
REQ-00762,sweet,sweet
REQ-00762,vanilla,gourmand
REQ-00764,vanilla,gourmand
REQ-00767,clean,clean
REQ-00768,ozone,ozonic
REQ-00773,forest,woody
REQ-00773,after rain,ozonic
REQ-00775,spicy,spicy
REQ-00775,floral,floral
REQ-00775,musk,musky
REQ-00778,sweet,sweet
REQ-00780,wet stone,mineral
REQ-00780,leather,leather
REQ-00781,smoke,smoky
REQ-00781,fireplace,smoky
REQ-00781,musk,musky
REQ-00783,leather,leather
REQ-00783,vanilla,gourmand
REQ-00785,citrus,citrus
REQ-00786,forest,woody
REQ-00786,after rain,ozonic
REQ-00790,vanilla,gourmand
REQ-00791,sweet,sweet
REQ-00792,smoky,smoky
REQ-00792,ozone,ozonic
REQ-00793,leather,leather
REQ-00795,clean,clean
REQ-00795,musky,musky
REQ-00795,musk,musky
REQ-00795,sweet,sweet
REQ-00796,smoky,smoky
REQ-00797,amber,amber
REQ-00797,citrus,citrus
REQ-00799,citrus,citrus
REQ-00800,smoky,smoky
REQ-00801,smoky,smoky
REQ-00801,sweet,sweet
REQ-00803,musk,musky
REQ-00805,sweet,sweet
REQ-00808,citrus,citrus
REQ-00809,powdery,powdery
REQ-00810,clean,clean
REQ-00812,musk,musky
REQ-00812,leather,leather
REQ-00813,powdery,powdery
REQ-00816,clean,clean
REQ-00817,mineral,mineral
REQ-00819,vanilla,gourmand
REQ-00820,clean,clean
REQ-00821,smoky,smoky
REQ-00822,smoky,smoky
REQ-00822,wet stone,mineral
REQ-00823,powdery,powdery
REQ-00827,leather,leather
REQ-00828,leather,leather
REQ-00829,sweet,sweet
REQ-00831,smoky,smoky
REQ-00833,mineral,mineral
REQ-00834,leather,leather
REQ-00835,leather,leather
REQ-00835,barbershop,fougere
REQ-00836,clean,clean
REQ-00836,smoky,smoky
REQ-00837,sweet,sweet
REQ-00838,powdery,powdery
REQ-00841,clean,clean
REQ-00841,citrus,citrus
REQ-00841,sweet,sweet
REQ-00842,mineral,mineral
REQ-00843,smoky,smoky
REQ-00843,mineral,mineral
REQ-00844,smoky,smoky
REQ-00844,smoke,smoky
REQ-00844,fireplace,smoky
REQ-00848,musk,musky
REQ-00848,ozone,ozonic
REQ-00849,vanilla,gourmand
REQ-00850,ozone,ozonic
REQ-00852,clean,clean
REQ-00852,floral,floral
REQ-00853,leather,leather
REQ-00853,barbershop,fougere
REQ-00854,musky,musky
REQ-00854,musk,musky
REQ-00855,fresh,fresh
REQ-00855,freshly washed,clean
REQ-00858,sweet,sweet
REQ-00859,musk,musky
REQ-00859,leather,leather
REQ-00859,coffee,gourmand
REQ-00860,fresh,fresh
REQ-00860,spicy,spicy
REQ-00860,fresh cut grass,green
REQ-00861,musk,musky
REQ-00861,ozone,ozonic
REQ-00863,sweet,sweet
REQ-00864,citrus,citrus
REQ-00868,smoky,smoky
REQ-00870,fresh,fresh
REQ-00870,freshly washed,clean
REQ-00871,vanilla,gourmand
REQ-00873,citrus,citrus
REQ-00878,aquatic,aquatic
REQ-00879,fresh,fresh
REQ-00880,leather,leather
REQ-00884,wet stone,mineral
REQ-00884,leather,leather
REQ-00885,smoky,smoky
REQ-00886,fresh,fresh
REQ-00886,fresh cut grass,green
REQ-00887,vanilla,gourmand
REQ-00888,clean,clean
REQ-00888,citrus,citrus
REQ-00889,vanilla,gourmand
REQ-00890,leather,leather
REQ-00890,coffee,gourmand
REQ-00891,clean,clean
REQ-00892,woody,woody
REQ-00892,barbershop,fougere
REQ-00893,vanilla,gourmand
REQ-00898,sweet,sweet
REQ-00899,powdery,powdery
REQ-00901,musk,musky
REQ-00903,clean,clean
REQ-00903,hotel lobby,clean
REQ-00904,spicy,spicy
REQ-00905,clean,clean
REQ-00906,clean,clean
REQ-00907,clean,clean
REQ-00907,hotel lobby,clean
REQ-00908,vanilla,gourmand
REQ-00909,fresh,fresh
REQ-00909,freshly washed,clean
REQ-00910,dark,dark
REQ-00914,sweet,sweet
REQ-00915,powdery,powdery
REQ-00916,citrus,citrus
REQ-00919,clean,clean
REQ-00919,sweet,sweet
REQ-00921,wet stone,mineral
REQ-00925,musk,musky
REQ-00927,dark,dark
REQ-00927,smoky,smoky
REQ-00928,leather,leather
REQ-00929,woody,woody
REQ-00929,green,green
REQ-00929,vanilla,gourmand
REQ-00930,musk,musky
REQ-00930,wet stone,mineral
REQ-00931,powdery,powdery
REQ-00932,vanilla,gourmand
REQ-00933,musk,musky
REQ-00935,dark,dark
REQ-00937,leather,leather
REQ-00938,aquatic,aquatic
REQ-00938,ozone,ozonic
REQ-00939,aquatic,aquatic
REQ-00939,sweet,sweet
REQ-00940,clean,clean
REQ-00940,spicy,spicy
REQ-00941,citrus,citrus
REQ-00941,aquatic,aquatic
REQ-00941,vanilla,gourmand
REQ-00945,spicy,spicy
REQ-00947,leather,leather
REQ-00948,clean,clean
REQ-00952,woody,woody
REQ-00954,smoky,smoky
REQ-00955,smoky,smoky
REQ-00955,wet stone,mineral
REQ-00957,clean,clean
REQ-00958,powdery,powdery
REQ-00959,fresh,fresh
REQ-00960,fresh,fresh
REQ-00962,clean,clean
REQ-00964,leather,leather
REQ-00965,green,green
REQ-00967,powdery,powdery
REQ-00969,musk,musky
REQ-00969,wet stone,mineral
REQ-00970,ozone,ozonic
REQ-00971,smoke,smoky
REQ-00971,fireplace,smoky
REQ-00972,powdery,powdery
REQ-00975,sweet,sweet
REQ-00978,sweet,sweet
REQ-00981,powdery,powdery
REQ-00982,clean,clean
REQ-00983,musk,musky
REQ-00984,forest,woody
REQ-00984,after rain,ozonic
REQ-00985,musky,musky
REQ-00985,musk,musky
REQ-00987,spicy,spicy
REQ-00988,powdery,powdery
REQ-00989,vanilla,gourmand
REQ-00993,vanilla,gourmand
REQ-00995,fresh,fresh
REQ-00995,fresh cut grass,green
REQ-00995,powdery,powdery
REQ-00996,green,green
REQ-00997,vanilla,gourmand
REQ-00998,vanilla,gourmand
REQ-00999,musk,musky
REQ-01000,vanilla,gourmand
REQ-01001,fresh,fresh
REQ-01001,fresh cut grass,green
REQ-01003,fresh,fresh
REQ-01003,fresh cut grass,green
REQ-01004,wet stone,mineral
REQ-01007,clean,clean
REQ-01007,leather,leather
REQ-01009,vanilla,gourmand
REQ-01010,barbershop,fougere
REQ-01011,sweet,sweet
REQ-01015,wet stone,mineral
REQ-01015,leather,leather
REQ-01016,green,green
REQ-01016,musk,musky
REQ-01019,fresh,fresh
REQ-01019,freshly washed,clean
REQ-01019,citrus,citrus
REQ-01021,leather,leather
REQ-01021,sweet,sweet
REQ-01022,vanilla,gourmand
REQ-01024,musk,musky
REQ-01025,clean,clean
REQ-01026,sweet,sweet
REQ-01027,fresh,fresh
REQ-01027,freshly washed,clean
REQ-01028,musk,musky
REQ-01029,musk,musky
REQ-01030,spicy,spicy
REQ-01032,clean,clean
REQ-01032,leather,leather
REQ-01035,freshly washed,clean
REQ-01036,leather,leather
REQ-01037,leather,leather
REQ-01041,citrus,citrus
REQ-01044,powdery,powdery
REQ-01045,citrus,citrus
REQ-01046,sweet,sweet
REQ-01050,vanilla,gourmand
REQ-01053,clean,clean
REQ-01053,smoke,smoky
REQ-01053,fireplace,smoky
REQ-01055,smoky,smoky
REQ-01055,citrus,citrus
REQ-01056,musk,musky
REQ-01057,musk,musky
REQ-01057,sweet,sweet
REQ-01058,ozonic,ozonic
REQ-01063,leather,leather
REQ-01063,powdery,powdery
REQ-01064,vanilla,gourmand
REQ-01065,smoky,smoky
REQ-01066,vanilla,gourmand
REQ-01067,spicy,spicy
REQ-01067,vanilla,gourmand
REQ-01070,leather,leather
REQ-01072,citrus,citrus
REQ-01073,clean,clean
REQ-01073,musk,musky
REQ-01074,powdery,powdery
REQ-01075,citrus,citrus
REQ-01075,musky,musky
REQ-01075,musk,musky
REQ-01077,amber,amber
REQ-01077,ozonic,ozonic
REQ-01078,powdery,powdery
REQ-01079,musk,musky
REQ-01080,smoky,smoky
REQ-01080,musk,musky
REQ-01081,musk,musky
REQ-01081,aquatic,aquatic
REQ-01082,citrus,citrus
REQ-01082,sweet,sweet
REQ-01086,sweet,sweet
REQ-01087,citrus,citrus
REQ-01089,sweet,sweet
REQ-01090,musk,musky
REQ-01091,clean,clean
REQ-01091,citrus,citrus
REQ-01091,ozone,ozonic
